Minisector,MAG,ALO,Fastest
0,291.43019437654226,287.08259846274507,MAG
1,300.78584017914534,291.80963553333333,MAG
2,165.5745804619355,167.0898995967527,ALO
3,222.82906136000003,227.93782730217578,ALO
4,274.5427187639266,273.30000786859455,MAG
5,294.15426751681895,288.59472256000004,MAG
6,302.9139136,294.31639356955736,MAG
7,165.24022372708734,165.17311771954886,MAG
8,129.63273639619047,130.52481995642057,ALO
9,249.65980807974069,246.80767952761903,MAG
10,284.5455876392157,278.1979789342689,MAG
11,297.18125053333335,286.0345588705882,MAG
12,149.40901238666666,145.1893601718293,MAG
13,193.8771727304348,193.82866890931726,MAG
14,261.11025602242006,255.59868440701752,MAG
15,200.10625168888888,198.54704351229014,MAG
16,217.98542014387618,218.31733230711075,ALO
17,217.748836987013,220.79197307594544,ALO
18,242.18700924684077,244.6015730851957,ALO
19,275.8234369333333,272.8991191037714,MAG
20,293.78307259999997,288.09880926666665,MAG
21,252.7355580952381,268.4470597647059,ALO
22,217.88949266776984,224.7489844054267,ALO
23,200.6191058174553,207.76977711515153,ALO
24,266.6592404430237,262.3454044289333,MAG
25,282.1666666666667,277.5458336,MAG
