Minisector,RAI,MAG,Fastest
0,296.0720760981288,291.43019437654226,RAI
1,306.94611107555556,300.78584017914534,RAI
2,170.01679199616174,165.5745804619355,RAI
3,230.35118958730158,222.82906136000003,RAI
4,284.79236990156073,274.5427187639266,RAI
5,303.23422605714285,294.15426751681895,RAI
6,309.890625,302.9139136,RAI
7,177.31704328894307,158.6314152493572,RAI
8,132.714963412128,133.28244764444443,MAG
9,256.002394369884,249.65980807974069,RAI
10,287.4477178565079,285.126388325926,RAI
11,299.2546568853312,297.3266672355556,RAI
12,153.77609770733042,149.40901238666666,RAI
13,193.70889493959683,195.89519139459279,MAG
14,264.7362455483512,262.4222220444444,RAI
15,208.61179835151515,197.24456658550724,RAI
16,224.0427852184333,220.77992735503895,RAI
17,218.10227345454544,214.69560710385485,RAI
18,246.61907811929822,243.58720265983237,RAI
19,280.0714700423529,276.4975484235294,RAI
20,297.3296872,294.4528643333333,RAI
21,266.82526213333335,250.22086687830688,RAI
22,231.51901625955577,213.53325093433622,RAI
23,211.59239058550725,203.4053123826785,RAI
24,270.07972242067194,267.47542077058387,RAI
25,286.5249984,,RAI
