Minisector,GRO,PER,Fastest
0,307.7647937381812,311.1361691155077,PER
1,233.24219515409473,231.61163921579723,GRO
2,137.65681878603087,134.29714308705232,GRO
3,221.40423463104005,218.83739884485854,GRO
4,265.91594745845003,265.00178628293435,GRO
5,288.6426266634629,290.98810634875065,PER
6,302.806832109884,304.4752606,PER
7,281.95859253333333,276.53354940003624,GRO
8,172.58061127555243,172.28655924073922,GRO
9,241.6950387800486,241.5455655900873,GRO
10,275.15400695864014,275.59314844249684,PER
11,265.9667703983216,258.71126202798285,GRO
12,208.48437481212122,202.24888225741373,GRO
13,132.12067010214457,125.999777208155,GRO
14,127.33905738948344,128.81221912313706,PER
15,169.03645632032405,162.3031757760204,GRO
16,125.28613011018216,132.35369134747157,PER
17,234.36940509714287,232.40448299485934,GRO
18,189.30237007253206,176.09139535560487,GRO
19,167.79064963594115,177.58899167341298,PER
20,252.86228604554424,252.55534558428494,GRO
21,281.613281,279.9503606499634,GRO
22,296.00835750922425,297.3669271885017,PER
23,304.3480627108957,308.2808686079364,PER
24,307.8724023429128,313.1163691428572,PER
