Minisector,HAM,RAI,Fastest
0,311.46117472499526,316.1536488088963,RAI
1,246.5178905499423,229.54478973333335,HAM
2,138.99628692426256,133.16486501692708,HAM
3,221.26588459543876,224.87019132229406,RAI
4,265.74032112147955,270.42476506301665,RAI
5,291.4477286433559,296.5332595776112,RAI
6,306.953692432017,310.4269133714286,RAI
7,290.26810876026207,292.11842706832925,RAI
8,172.39197811677494,175.05851793205477,RAI
9,242.53696326850556,242.76286240705122,RAI
10,276.4653672822204,278.8792682674013,RAI
11,275.3205220976898,272.46417467708875,HAM
12,211.88191959493471,211.70807625868486,HAM
13,135.21227446657315,130.70656912631867,HAM
14,123.77259622301351,122.85002745480597,HAM
15,167.80127360898624,171.58153388268707,RAI
16,126.25315804590618,121.36519778712767,HAM
17,234.81962690611712,234.39186991586666,HAM
18,192.07257551223805,200.20070562100184,RAI
19,160.85947241033924,163.19554641584597,RAI
20,246.66228867809298,251.93510989986873,RAI
21,277.9445606719974,283.28502598969806,RAI
22,294.6777654976717,301.33715830573703,RAI
23,306.30674619725994,310.27055566222225,RAI
24,311.40034397877275,313.96517233911305,RAI
25,312.3250002285714,315.8642861714286,RAI
