Minisector,RAI,RIC,Fastest
0,316.1536488088963,308.4810949393139,RAI
1,229.54478973333335,235.82407450451464,RIC
2,133.16486501692708,141.43425272962813,RIC
3,224.87019132229406,221.67552477613808,RAI
4,271.35448168826525,264.64584177847075,RAI
5,297.25430536685116,290.05992613773935,RAI
6,310.4269133714286,304.6062499809524,RAI
7,292.11842706832925,289.19044762028926,RAI
8,175.05851793205477,182.1515486671143,RIC
9,243.70805262003196,242.89594234587972,RAI
10,279.9550558674472,274.71014990007166,RAI
11,269.8272760839171,270.57588002785695,RIC
12,211.07512750909842,212.80300491410273,RIC
13,130.70656912631867,137.62875249207323,RIC
14,124.14011680287426,124.14195347129221,RIC
15,171.6185042734039,172.27789535952675,RIC
16,123.77218494098696,128.79527401333056,RIC
17,235.78003489427743,233.6376704740427,RAI
18,194.16122063646452,191.75651818483848,RAI
19,166.15619280827372,171.6005646913898,RIC
20,251.93510989986873,248.11882295865487,RAI
21,283.92731739301246,277.054148583817,RAI
22,301.8127035363833,293.5540325705394,RAI
23,310.27055566222225,303.47341662148114,RAI
24,313.96517233911305,308.221900299705,RAI
25,315.8642861714286,309.69037611638464,RAI
