Minisector,HAM,RAI,Fastest
0,275.66680231837364,277.2045580603281,RAI
1,294.5587287933422,294.53183153470513,HAM
2,293.11953181241626,294.36285331833363,RAI
3,177.00824405167126,179.71183566920502,RAI
4,117.85342668890338,119.94189448073466,RAI
5,234.91313946627014,237.772180404449,RAI
6,284.1148951812171,283.036820778645,HAM
7,299.5001983500997,297.8082211962497,HAM
8,173.02286739795736,169.9977087770813,HAM
9,141.3521281141012,137.33791542001453,HAM
10,253.753581263256,252.70012104738007,HAM
11,289.7124617146753,289.3753323577253,HAM
12,300.98430430740717,302.54792110785263,RAI
13,278.17231317158354,284.0767224371192,RAI
14,301.1871547059701,302.1896693987062,RAI
15,302.44219352624077,305.7066790202212,RAI
16,245.56701849358507,254.4262312800865,RAI
17,218.94304936637275,217.80066782406487,HAM
18,281.148342527786,282.0967732484691,RAI
19,308.3456376735651,310.7282766514275,RAI
20,317.67539500926665,319.3042039458825,RAI
21,225.7251809585883,232.41766617083144,RAI
22,260.09609831760685,261.137762536457,RAI
23,134.38310206022405,139.47467565364408,RAI
24,204.40470848887497,204.4127456017885,RAI
25,245.97095302133192,256.7666645333333,RAI
