Minisector,HAM,RIC,Fastest
0,275.66680231837364,280.20362291937414,RIC
1,294.5587287933422,305.2964230001713,RIC
2,293.11953181241626,290.89808464595325,HAM
3,177.00824405167126,174.2699952492998,HAM
4,117.85342668890338,119.27102782470593,RIC
5,234.91313946627014,236.63771132340156,RIC
6,284.1148951812171,287.9244804132433,RIC
7,299.5001983500997,298.14020876405897,HAM
8,173.02286739795736,161.36983640898148,HAM
9,141.3521281141012,139.4970038036103,HAM
10,253.753581263256,253.2019581768208,HAM
11,289.7124617146753,294.28878448197526,RIC
12,300.98430430740717,296.3871279465713,HAM
13,278.17231317158354,272.67038140389394,HAM
14,301.1871547059701,299.9130556327314,HAM
15,302.44219352624077,302.47058129130903,RIC
16,245.56701849358507,234.73874666390267,HAM
17,218.94304936637275,218.54624497692285,HAM
18,281.148342527786,285.5883849823753,RIC
19,308.3456376735651,317.59718901447803,RIC
20,317.67539500926665,321.12034962150665,RIC
21,225.7251809585883,212.51187458861608,HAM
22,260.09609831760685,252.9748046626124,HAM
23,134.38310206022405,132.99020154911136,HAM
24,204.40470848887497,216.64899364857416,RIC
25,245.97095302133192,,HAM
