Minisector,VET,ALO,Fastest
0,285.40509549559346,279.40654191127584,VET
1,304.2627110696869,308.8973657136616,ALO
2,299.81416741797705,296.29101678731007,VET
3,172.00605653461201,172.3220435845176,ALO
4,116.10401491337133,109.7143256999702,VET
5,244.38524644721525,235.55564128502954,VET
6,300.19752678047155,278.5520504629848,VET
7,321.07299709572305,285.2451155903841,VET
8,160.1484387245068,167.06902052493396,ALO
9,142.33645096086468,134.64505039296424,VET
10,251.9361761337389,249.836644497045,VET
11,287.2139697592842,283.99772603141855,VET
12,296.22773304242423,294.194959189769,VET
13,276.59713897490155,276.21528610413276,VET
14,297.8377410593424,295.5347343726107,VET
15,294.54726131362855,300.0635621812105,ALO
16,248.8256373126376,249.63564217283923,ALO
17,221.95523115754963,211.52913928519874,VET
18,279.2284940919358,274.53228536449734,VET
19,301.66002723301193,299.876649637016,VET
20,308.36853837936206,305.54819032071975,VET
21,227.8447056087309,227.1904642421507,VET
22,258.76500848963235,246.07026579360146,VET
23,143.49499787992062,130.77413570181702,VET
24,213.32179020968215,196.96568212644596,VET
25,254.95000106666666,248.17154994569376,VET
