Minisector,VET,VER,Fastest
0,288.37254901960785,287.55898862688167,VET
1,128.12684871400293,136.22619047619048,VER
2,165.5477954144621,154.25634251009134,VET
3,220.77380816114055,227.54761904761904,VER
4,163.70617283950617,165.5977281742789,VER
5,244.64902077848964,242.13492063492063,VET
6,212.45486542443064,233.58761454469936,VER
7,140.79484580939737,139.60859935302275,VET
8,237.0340476190476,232.62965417543438,VET
9,277.1181037969187,275.12254901960785,VET
10,284.52964851586836,286.6289211607843,VER
11,149.67367038573144,154.506451372043,VER
12,222.4889891098671,218.56592281904764,VET
13,271.27058823529416,269.4953288216002,VET
14,269.2444472888889,276.09362741960786,VER
15,104.56925510879745,108.13252803329911,VER
16,226.96031613968253,217.75097973464025,VET
17,276.33723986666666,270.75,VET
18,297.7825519333333,293.51861098666666,VET
19,308.53538909847583,304.77633931428574,VET
20,312.45818792973546,311.4547619047619,VET
21,291.8118486473895,296.6883347911111,VER
22,156.89118974668855,158.90938535639802,VER
23,238.6202955828024,232.0385416,VET
24,280.54004557037035,277.8010042114651,VET
25,,290.3749984,VER
