Minisector,RAI,HAM,Fastest
0,279.29682585396824,278.14003612753623,RAI
1,293.26416699428574,295.8895834133333,HAM
2,243.36596873272583,233.30048623194116,RAI
3,117.0462905127933,118.7480900135473,HAM
4,133.09828580854273,137.3207853438811,HAM
5,251.740356531677,249.05833370793653,RAI
6,263.5928738443832,254.22003692614544,RAI
7,125.56282805663183,124.87336136836186,RAI
8,246.45046701893986,244.59670182222223,RAI
9,258.62162657460317,255.49882811549583,RAI
10,211.2895001496018,206.83913638095237,RAI
11,141.65242306031746,143.28605956720364,HAM
12,206.1546363319728,205.04285718095238,RAI
13,265.5547053724435,257.65456966211974,RAI
14,118.93570559854575,122.23463323563222,HAM
15,186.92768003555557,184.1814463714141,RAI
16,258.3791346852883,254.01323489723825,RAI
17,292.21044683428573,287.2783333333333,RAI
18,307.59727469874684,302.74402778753273,RAI
19,314.38456334122424,309.9454365206349,RAI
20,315.87060183703704,312.2493420912281,RAI
21,175.5575037365185,172.71900737633268,RAI
22,142.66315804225783,144.59580039759098,HAM
23,202.62915817929826,201.65355509475813,RAI
24,238.89410396312627,232.94444457777777,RAI
25,,264.5722225777778,HAM
