Minisector,RIC,BOT,Fastest
0,277.98586949565214,278.1141767508633,BOT
1,293.11777237602496,293.43937493333334,BOT
2,239.69733307733333,247.6866867204708,BOT
3,119.85583988216939,115.97829126872082,RIC
4,135.3861672714205,130.02134751462933,RIC
5,248.98866608253968,249.74940563552386,BOT
6,257.5112235836876,250.04236088888888,RIC
7,129.93877080852798,124.89789783877342,RIC
8,247.20398608695652,250.06431183768117,BOT
9,265.891856,263.28006031353186,RIC
10,222.43128845573622,206.90159400816327,RIC
11,145.49212629118784,140.65757404053792,RIC
12,209.9557286071326,207.77476196551515,RIC
13,263.6761620208617,258.9405274236025,RIC
14,124.81225963034295,120.33653372787465,RIC
15,190.28362001051087,197.2176540713764,BOT
16,254.84274670422045,261.65579740289854,BOT
17,285.4889928048344,293.8097135168293,BOT
18,296.1120615298246,307.17234372812834,BOT
19,300.22785094736844,313.1684210526316,BOT
20,303.6997917333333,315.1217592888889,BOT
21,189.3967130120062,158.1435300491228,RIC
22,137.3658699114048,149.53952440919952,BOT
23,209.23009339373147,204.36628845048355,RIC
24,235.66344106971428,238.91400004266666,BOT
25,264.35,,RIC
