X,Y,Minisector,Fastest
-499.33846981294334,-1364.4970445678262,0,VER
-528.2099733800839,-1344.0647750105693,0,VER
-572.0,-1313.0,0,VER
-684.5935913598994,-1232.710229296319,0,VER
-767.0,-1174.0,0,VER
-844.1320165060612,-1119.3310386538385,0,VER
-979.0,-1024.0,0,VER
-1021.4838569059275,-993.9263518814336,0,VER
-1233.9877029430402,-843.266029610004,0,VER
-1240.0,-839.0,0,VER
-1453.1395278215568,-687.7078584282145,0,VER
-1574.0,-602.0,0,VER
-1723.6376541132474,-496.057601908078,0,VER
-1892.0,-377.0,0,VER
-1955.7977089647738,-331.8892492578251,0,VER
-2121.0,-215.0,0,VER
-2130.9025516231372,-207.98183601864537,0,VER
-2299.8891546917093,-88.26024593357464,0,VER
-2333.0,-65.0,0,VER
-2476.3800396876745,34.80792470829905,0,VER
-2554.0,89.0,0,VER
-2649.154060819702,156.1282445915842,0,VER
-2766.0,239.0,1,VER
-2819.2452227378603,276.6306232542401,1,VER
-2987.0,395.0,1,VER
-3027.090053826396,423.3699787055198,1,VER
-3202.520048737667,547.8209483691218,1,VER
-3207.0,551.0,1,VER
-3332.33049645881,639.925738265104,1,VER
-3362.0,661.0,1,VER
-3442.7824381780756,718.469937137068,1,VER
-3476.0,742.0,1,VER
-3539.9649633627037,787.0587927461172,1,VER
-3599.0,828.0,1,VER
-3629.6975423559034,848.7281630529884,1,VER
-3699.0,894.0,1,VER
-3713.536246187788,903.4495796301029,1,VER
-3844.0850568907476,988.2841924744586,1,VER
-3859.0,998.0,1,VER
-3981.140691532217,1077.7661420014774,1,VER
-4026.0,1107.0,1,VER
-4096.833319208001,1152.9136857393935,1,VER
-4160.0,1194.0,1,VER
-4202.17167085653,1221.7319889583393,1,VER
-4296.0,1279.0,1,VER
-4311.110317868139,1286.533480252637,1,VER
-4427.0,1318.0,2,SAI
-4450.865618127049,1315.3720075010876,2,SAI
-4555.557763877389,1271.4546100048688,2,SAI
-4558.0,1270.0,2,SAI
-4645.748785490939,1204.792212158502,2,SAI
-4669.0,1186.0,2,SAI
-4728.560932156919,1138.729357191184,2,SAI
-4771.0,1105.0,2,SAI
-4809.392393806853,1073.9713211785352,2,SAI
-4872.0,1023.0,2,SAI
-4890.161415336572,1008.3498250538102,2,SAI
-4970.971013752344,943.6285388981274,2,SAI
-4973.0,942.0,2,SAI
-5039.30787718579,888.8676903186715,2,SAI
-5076.0,862.0,2,SAI
-5124.312409221294,830.8048952242451,2,SAI
-5189.0,798.0,2,SAI
-5220.6424733337835,785.8992283247621,2,SAI
-5323.0,760.0,2,SAI
-5329.201384987496,759.0614349290773,2,SAI
-5432.835985178486,755.2353935674038,2,SAI
-5453.0,757.0,2,SAI
-5540.51066005157,773.0564905898958,2,SAI
-5589.0,788.0,2,SAI
-5650.286698615404,813.3271077483822,2,SAI
-5725.0,850.0,2,SAI
-5757.365098914683,866.2407471282636,2,SAI
-5814.0,895.0,2,SAI
-5869.373913146792,923.2089706440584,2,SAI
-5965.0,972.0,2,SAI
-5990.876456536181,985.1984389144301,2,SAI
-6104.585228016253,1043.2512683972536,2,SAI
-6108.0,1045.0,2,SAI
-6225.510282086772,1105.7901556833735,3,SAI
-6259.0,1124.0,3,SAI
-6342.858615104286,1172.360492927416,3,SAI
-6403.0,1212.0,3,SAI
-6456.047063528572,1251.835269725964,3,SAI
-6543.0,1326.0,3,SAI
-6567.49659959269,1348.502700643114,3,SAI
-6675.973014662911,1454.9481322514716,3,SAI
-6679.0,1458.0,3,SAI
-6781.880859354825,1560.1814589038124,3,SAI
-6824.0,1596.0,3,SAI
-7011.35817348934,1737.4862365758006,3,SAI
-7096.0,1799.0,3,SAI
-7243.253726315443,1905.2949455108355,3,SAI
-7389.0,2009.0,3,SAI
-7489.06136558084,2079.173151460718,3,SAI
-7702.0,2224.0,3,SAI
-7731.449722526291,2242.924973430851,3,SAI
-7900.103551662062,2342.4432401498625,3,SAI
-7917.0,2352.0,3,SAI
-8053.928036838158,2428.283930577983,3,SAI
-8109.0,2458.0,3,SAI
-8208.670492840698,2510.088082716634,4,VER
-8306.0,2557.0,4,VER
-8370.902707232794,2585.374366358713,4,VER
-8519.0,2644.0,4,VER
-8544.161753856695,2653.508424515312,4,VER
-8724.79332696368,2719.8283606704485,4,VER
-8744.0,2727.0,4,VER
-8870.155054764404,2775.370074528384,4,VER
-8958.0,2811.0,4,VER
-9037.753775949148,2845.12898363566,4,VER
-9168.0,2904.0,4,VER
-9208.543652477512,2922.8630564986292,4,VER
-9397.774723271372,3014.844072052341,4,VER
-9402.0,3017.0,4,VER
-9638.680315193067,3143.3218544114948,4,VER
-9658.0,3154.0,4,VER
-9786.20972204781,3227.0469477294323,4,VER
-9831.0,3253.0,4,VER
-9909.261258038723,3298.1708885164553,4,VER
-9979.0,3338.0,4,VER
-10020.55118906691,3361.390594124172,4,VER
-10065.0,3388.0,4,VER
-10116.59556549969,3424.6129220007056,4,VER
-10172.0,3477.0,4,VER
-10191.393328631073,3502.500317189551,4,VER
-10231.0,3591.0,4,VER
-10232.175042164174,3596.4181572599937,4,VER
-10235.265129135974,3700.9542619676276,4,VER
-10234.0,3721.0,5,VER
-10226.28629821977,3799.417282163939,5,VER
-10221.0,3840.0,5,VER
-10213.922474248337,3887.4388935525667,5,VER
-10208.0,3959.0,5,VER
-10208.039434132528,4001.5506053662175,5,VER
-10220.0,4148.0,5,VER
-10221.347044145083,4154.698991662896,5,VER
-10258.139473259733,4243.537333565502,5,VER
-10267.0,4258.0,5,VER
-10307.42397483243,4315.365453650756,5,VER
-10333.0,4345.0,5,VER
-10368.1849114604,4379.160040485208,5,VER
-10415.0,4417.0,5,VER
-10435.24609063724,4431.412470758797,5,VER
-10501.0,4468.0,5,VER
-10505.181687635592,4469.72310741232,5,VER
-10589.905237414241,4494.064486229008,5,VER
-10607.0,4497.0,5,VER
-10677.10056265549,4502.645782116534,5,VER
-10717.0,4503.0,5,VER
-10769.864666627414,4501.786829882897,5,VER
-10837.0,4498.0,5,VER
-10866.612572459502,4495.6205529990075,5,VER
-10956.0,4487.0,5,VER
-10961.501387268976,4486.506269029981,5,VER
-11056.634899580182,4478.676850963181,5,VER
-11076.0,4477.0,5,VER
-11145.020241416409,4470.57280616768,5,VER
-11205.0,4465.0,5,VER
-11237.04541206678,4462.329618091588,5,VER
-11295.0,4458.0,5,VER
-11305.15363703494,4457.197233384381,5,VER
-11377.419492594061,4453.575721817336,5,VER
-11385.0,4454.0,5,VER
-11448.937184932822,4466.191858156264,5,VER
-11470.0,4477.0,5,VER
-11499.046577979969,4507.016600610858,5,VER
-11515.0,4541.0,5,VER
-11519.416295820818,4563.097815532483,5,VER
-11517.0,4610.0,5,VER
-11514.32977886686,4625.421325551584,5,VER
-11500.0,4678.0,5,VER
-11498.83025160849,4682.044911701976,5,VER
-11471.594976856213,4774.57836518183,5,VER
-11466.0,4793.0,5,VER
-11435.618141881821,4889.600371115534,5,VER
-11433.0,4898.0,5,VER
-11414.900744475179,4957.757610218916,5,VER
-11407.0,4984.0,5,VER
-11390.817186047898,5037.207103046953,5,VER
-11375.0,5089.0,6,VER
-11366.064259562358,5118.308111483216,6,VER
-11346.0,5185.0,6,VER
-11342.143498215242,5198.05009069013,6,VER
-11308.353639122175,5307.225572388924,6,VER
-11304.0,5319.0,6,VER
-11265.333241882536,5402.788948563489,6,VER
-11245.0,5433.0,6,VER
-11187.733580884986,5492.515025390754,6,VER
-11151.0,5521.0,6,VER
-11101.881976060733,5551.886213837952,6,VER
-11036.0,5583.0,6,VER
-11006.246907491704,5593.676329963392,6,VER
-10911.0,5614.0,6,VER
-10905.494786510995,5614.457680814581,6,VER
-10802.704201178633,5609.454530263284,6,VER
-10782.0,5606.0,6,VER
-10694.700475107664,5584.366357773356,6,VER
-10647.0,5569.0,6,VER
-10589.944718142468,5547.755787014962,6,VER
-10518.0,5515.0,6,VER
-10484.83059290174,5497.405545976823,6,VER
-10380.0,5433.0,6,VER
-10373.785908162055,5428.749199035393,6,VER
-10272.296168281719,5351.766856121133,6,VER
-10253.0,5336.0,6,VER
-10187.276231889799,5280.331206213225,6,VER
-10126.0,5224.0,6,VER
-10086.548023604078,5184.516499569507,6,VER
-10003.0,5092.0,6,VER
-9988.890701804074,5075.127489470658,6,VER
-9895.760363058153,4954.300981944362,6,VER
-9887.0,4942.0,6,VER
-9820.127860391829,4840.016959879294,6,VER
-9796.0,4799.0,6,VER
-9753.69329243575,4720.875735205167,7,VER
-9713.0,4639.0,7,VER
-9671.619944387696,4551.134905989467,7,VER
-9620.0,4439.0,7,VER
-9597.973868855066,4391.4661933167545,7,VER
-9561.0,4312.0,7,VER
-9527.703899291584,4240.516968495112,7,VER
-9465.0,4126.0,7,VER
-9443.359413458182,4096.210147066963,7,VER
-9323.069247249217,3979.7922381883836,7,VER
-9319.0,3977.0,7,VER
-9166.971349524492,3902.8913871913624,7,VER
-9120.0,3885.0,7,VER
-8995.270559534287,3841.804418193316,7,VER
-8902.0,3811.0,7,VER
-8818.608034871007,3783.2058131588815,7,VER
-8684.0,3738.0,7,VER
-8647.977804298938,3725.8769183753107,7,VER
-8485.0,3671.0,7,VER
-8462.012858464292,3663.2829279257926,7,VER
-8286.675109599837,3604.5795655536576,7,VER
-8267.0,3598.0,7,VER
-8113.840412444714,3546.784932270009,7,VER
-8049.0,3525.0,7,VER
-7928.868002527282,3484.412516160081,8,VER
-7812.0,3445.0,8,VER
-7740.194696466571,3420.98275956031,8,VER
-7584.0,3369.0,8,VER
-7559.09905811623,3360.6841133928738,8,VER
-7377.500565923596,3299.8563685709096,8,VER
-7357.0,3293.0,8,VER
-7194.875790571862,3238.9262965497264,8,VER
-7129.0,3217.0,8,VER
-7014.107434596658,3178.7971009929597,8,VER
-6901.0,3141.0,8,VER
-6826.18087926479,3115.7940772434777,8,VER
-6655.0,3058.0,8,VER
-6628.0092470209165,3048.9552919896387,8,VER
-6437.9311969042055,2985.6570461001465,8,VER
-6418.0,2979.0,8,VER
-6298.001817673058,2938.697786938189,8,VER
-6219.0,2912.0,8,VER
-6152.537853849361,2889.4629360306553,8,VER
-6039.0,2851.0,8,VER
-5998.58593299268,2837.3843170119517,8,VER
-5792.0,2768.0,9,VER
-5727.495479549603,2746.311461720516,9,VER
-5536.0,2682.0,9,VER
-5523.469988384618,2677.813245554871,9,VER
-5326.637003880717,2612.2745486081617,9,VER
-5290.0,2600.0,9,VER
-5131.170648361082,2546.337627892338,9,VER
-5044.0,2517.0,9,VER
-4929.262654864209,2478.7613229645103,9,VER
-4873.0,2460.0,9,VER
-4726.102975324214,2410.670088812957,9,VER
