Minisector,BOT,PER,Fastest
0,294.3113880096323,288.6397721974026,BOT
1,313.48004395789474,308.49145808,BOT
2,309.9727608231948,305.7766456815719,BOT
3,181.84126799375366,182.2444287111111,PER
4,225.85193052232702,220.67785437037037,BOT
5,207.61240642180513,201.61621990861013,BOT
6,191.53593713310926,187.40393234747475,BOT
7,216.44678134012648,209.57052090628002,BOT
8,260.1329391432434,257.22813256900696,BOT
9,258.12276183347655,259.29606639063974,PER
10,173.03516568152438,171.3071874088466,BOT
11,243.18401292227267,240.82245306666667,BOT
12,116.96898852534514,120.23916286254723,PER
13,232.29307392042494,227.00724830750673,BOT
14,280.60284101818183,277.60948647808533,BOT
15,283.3627148066416,286.45578369658,PER
16,202.80831247553365,201.8357354470046,BOT
17,185.3456174401494,184.42265489524456,BOT
18,273.8160457606625,270.655588915942,BOT
19,301.5174804837571,298.35872980317464,BOT
20,314.80630952380955,311.1651759094647,BOT
21,310.97184508190475,311.1968720909443,PER
22,262.7469549938087,272.07466003993966,PER
23,118.83280271890143,118.36070722273563,BOT
24,248.22396413833212,240.92533205333334,BOT
25,279.0500032,274.0583317333334,BOT
