Minisector,VER,VET,Fastest
0,286.9958332121212,296.180980738322,VET
1,306.61135237238994,313.9049907697198,VET
2,305.00749984,314.5783333333333,VET
3,185.89131353490183,183.0988923954772,VER
4,220.6122469518622,225.09520870076426,VET
5,207.86724097471264,209.00208381301883,VET
6,193.40946958267247,190.57163923493226,VER
7,213.9219069020408,220.3976455029974,VET
8,258.99289366863593,264.1410625222431,VET
9,266.50790690585836,262.9998571946667,VER
10,179.11110479051817,176.49619977099894,VER
11,240.8908154962266,244.42387501324097,VET
12,116.99929565528255,122.21652897951184,VET
13,231.25773924797178,232.99541179172132,VET
14,277.8720246948836,280.3822714789201,VET
15,284.56639561558444,292.5752164502165,VET
16,205.652049000183,210.4265587924474,VET
17,184.1137871182665,188.96334776334777,VET
18,269.96556849392994,276.8043326937686,VET
19,295.9234129995465,301.7730952380952,VET
20,308.4617104627515,312.8266910723505,VET
21,309.20124976,313.2838095238095,VET
22,269.8086032945746,280.254347826087,VET
23,121.31068436613765,117.6351413735849,VER
24,244.05487955493737,246.90467275978386,VET
25,275.0750016,281.3416661333333,VET
