Minisector,BOT,VAN,Fastest
0,274.7262958341737,277.70677864973544,VAN
1,298.5689775219076,307.99424564096444,VAN
2,311.7969444977778,329.31043943150183,VAN
3,319.51645417142856,343.1065473523809,VAN
4,324.2341411918368,344.5651785142857,VAN
5,325.23310787820344,342.72628299487184,VAN
6,208.15452697971014,186.03883485866666,BOT
7,112.77184758741697,105.68734070504837,BOT
8,194.95297727867495,192.60930005079365,BOT
9,264.3576845275815,265.0446518436505,VAN
10,293.66328132380954,296.80104166666666,VAN
11,168.68693575089276,156.76465547586207,BOT
12,101.6388327904411,96.36758785222351,BOT
13,119.29374733035648,119.53094435971924,VAN
14,226.3315279822222,220.3713384609524,BOT
15,198.893735032788,181.51200864088182,BOT
16,239.59067486395554,210.18787805367964,BOT
17,194.35529038966342,171.05536883980818,BOT
18,244.9533399491324,238.1299347368421,BOT
19,282.9420176044818,277.0260183352289,BOT
20,261.2019608470588,229.7935246033118,BOT
21,147.1573729096393,137.1276623450408,BOT
22,100.87800132970582,96.6449358250173,BOT
23,129.86169521403338,122.21741980898076,BOT
24,227.57645904,227.3634919111111,BOT
25,256.63333546666667,,BOT
