Minisector,RAI,HAM,Fastest
0,280.98270434708996,275.2705498617914,RAI
1,306.32770360119696,300.64130116923076,RAI
2,320.76388864,313.91932588698415,RAI
3,327.76831483076927,322.85633924568606,RAI
4,331.6360119619048,327.6526985567006,RAI
5,333.2548937426522,323.71471031292515,RAI
6,208.74842311552794,199.19629560154465,RAI
7,109.69233596503302,108.15533606027451,RAI
8,190.68156679704404,193.05931958309583,HAM
9,266.24036467488753,263.8068638117647,RAI
10,294.5699997866667,288.10093960067815,RAI
11,168.10075939998873,159.4491359947455,RAI
12,100.57152174704814,97.53987654959475,RAI
13,119.68038955572715,121.79824130291038,HAM
14,227.8035779094386,221.63864825834472,RAI
15,178.21739153623187,190.3976418745576,HAM
16,219.32145556643445,220.6382367346939,HAM
17,174.648334336,181.57857547825247,HAM
18,237.71470083657474,240.65733079899752,HAM
19,281.00755226666666,279.8123304370493,RAI
20,248.34166666666664,236.559584,RAI
21,145.3739827317972,143.2472813881715,RAI
22,100.27378181907767,101.21589779565258,HAM
23,128.74336558431372,131.12580974814813,HAM
24,232.08613519650652,233.3654636891121,HAM
25,263.229168,,RAI
