Minisector,VER,RAI,Fastest
0,277.9276960627451,280.98270434708996,RAI
1,299.6297224533334,306.32770360119696,RAI
2,310.9265625333333,320.4613092571429,RAI
3,317.81904754285716,327.5705780571429,RAI
4,321.66547619047617,331.5310898051282,RAI
5,322.1596846581734,333.23790082647537,RAI
6,199.52280827733333,217.6435111328798,RAI
7,112.1798854441113,109.55297926507102,VER
8,193.65094353015874,188.02816818050053,VER
9,266.23564115975194,265.1956802439986,VER
10,292.3367462704762,293.9093748,RAI
11,159.09692345396826,173.97813037776567,RAI
12,103.37858018138436,99.87458654385145,VER
13,123.06084653968254,119.3993266726817,VER
14,220.76771106449416,227.8035779094386,RAI
15,195.1539607173875,178.21739153623187,VER
16,234.15232561718983,219.32145556643445,VER
17,185.16910840222326,173.38368160000002,VER
18,244.69117647058823,234.58421831025896,VER
19,282.62086884553355,280.03529436862743,VER
20,249.61104650165467,258.40277777777777,RAI
21,150.63745983748183,146.76376767803382,VER
22,102.80251875221443,100.78896721583489,VER
23,130.7584498270775,125.64922517979798,VER
24,230.33207382800063,228.02376534287097,VER
25,259.03333546666664,263.229168,RAI
