Minisector,RAI,VER,Fastest
0,272.0035715809524,264.9448860888769,RAI
1,137.34774477781704,151.09722924008892,VER
2,187.58442363597885,175.80674542400715,RAI
3,244.21888737457954,241.05754975398557,RAI
4,261.9355166359383,261.17819833316713,RAI
5,183.5554456931743,194.98540954846004,VER
6,143.16874263459772,154.4146739478261,VER
7,177.03739844276328,170.41789348556543,RAI
8,101.86926809196763,118.20669294187577,VER
9,75.04137355276536,83.3878859374121,VER
10,90.92205229227834,97.04321510611436,VER
11,167.55453957503417,143.3562825397771,RAI
12,245.12979209403463,236.76956253095125,RAI
13,270.8265695419545,264.2076923076923,RAI
14,277.5648530657508,280.5080128,VER
15,110.52155754285714,173.87827228956795,VER
16,140.33200407968877,105.824375097447,RAI
17,193.12688209309542,203.5223990725706,VER
18,195.18234138910748,186.72500000000002,RAI
19,218.38942774986938,228.26098218397695,VER
20,128.89096788510062,142.09237980419996,VER
21,120.81609021968254,154.842134248663,VER
22,89.07107711916576,82.57886361322113,RAI
23,190.2494708152048,168.0383156615178,RAI
24,249.96808074285715,240.35595871540775,RAI
25,,256.7124992,VER
