X,Y,Minisector,Fastest
1328.086881981671,-241.28408474646002,0,MAG
1286.265784307668,-307.44892367465854,0,MAG
1272.0,-330.0,0,MAG
1227.8194438790629,-399.74320594529314,0,MAG
1203.0,-439.0,0,MAG
1180.3940017154096,-474.85444600635276,0,MAG
1123.0,-566.0,0,MAG
1114.1460919799447,-580.0373271067007,0,MAG
1041.6289714549173,-694.7847418755481,0,MAG
1032.0,-710.0,0,MAG
956.2290310408049,-829.6414213365371,0,MAG
925.0,-879.0,0,MAG
876.1700648404029,-956.3266634257576,0,MAG
829.0,-1031.0,0,MAG
798.7041456548379,-1078.8407665624775,0,MAG
727.0,-1192.0,0,MAG
716.5181813721163,-1208.5817602742372,0,MAG
635.9947904148511,-1336.1893823144912,0,MAG
626.0,-1352.0,0,MAG
550.9270016298098,-1470.4974701471956,0,MAG
519.0,-1521.0,0,MAG
465.30418336092043,-1606.2880553777254,0,MAG
412.0,-1691.0,0,MAG
378.85374482797135,-1743.5099002704158,0,MAG
300.0,-1868.0,0,MAG
287.7858457866377,-1887.2427174296492,0,MAG
192.21555331222598,-2037.8118100531844,0,MAG
182.0,-2054.0,0,MAG
113.0,-2164.0,1,PER
108.94960529351947,-2170.460495980221,1,PER
10.953521908172553,-2326.3987059892825,1,PER
-9.0,-2358.0,1,PER
-83.55788795645495,-2475.4954868129794,1,PER
-132.0,-2552.0,1,PER
-201.30459776259988,-2661.970437296394,1,PER
-292.0,-2806.0,1,PER
-323.6595914580988,-2856.0824976331387,1,PER
-410.0,-2992.0,1,PER
-414.240050789676,-2998.66943090826,1,PER
-511.9483035188381,-3152.5996928765417,1,PER
-533.0,-3186.0,1,PER
-617.7174272989785,-3321.3273408425653,1,PER
-666.0,-3398.0,1,PER
-720.3690310943847,-3483.166635894304,1,PER
-790.0,-3592.0,1,PER
-819.3911976873515,-3638.586990303688,1,PER
-919.0,-3794.0,1,PER
-923.4362152547392,-3800.5331864308555,1,PER
-1032.1354184227578,-3949.8866576593273,1,PER
-1055.0,-3979.0,1,PER
-1143.0849507660143,-4083.9023329634592,2,PER
-1207.0,-4151.0,2,PER
-1302.6378647787662,-4243.194812992977,2,PER
-1444.0,-4367.0,2,PER
-1501.5924023379828,-4412.346143160243,2,PER
-1680.0,-4535.0,2,PER
