Minisector,BOT,RIC,Fastest
0,278.4121412873231,274.0464236574194,BOT
1,235.97790806313083,243.91931966795778,RIC
2,114.56065697507402,122.37714873423249,RIC
3,193.78989404165344,191.23985575251052,BOT
4,176.0384148615212,187.87697442162946,RIC
5,217.64054244174477,215.5578167423339,BOT
6,277.20556493058587,274.50179817619903,BOT
7,295.6850956546151,293.35044523544474,BOT
8,184.65186306740569,192.62023772657062,RIC
9,133.69659696489134,138.5818302249673,RIC
10,132.43802928799255,132.11966209408118,BOT
11,190.4663399423852,185.5867368164965,BOT
12,222.43067645117677,233.0450287228392,RIC
13,133.54021159105525,138.45336707847963,RIC
14,156.21380747166646,165.11406441460153,RIC
15,123.53453114153247,120.61132072729689,BOT
16,254.40097374241677,252.48462359868614,BOT
17,147.74928440461937,155.2996516367633,RIC
18,196.43160620761833,191.92749664718775,BOT
19,137.00968545033697,143.64115871599415,RIC
20,150.1911872542947,159.81279617546656,RIC
21,127.10203724850675,124.22138616111819,BOT
22,146.2750168848022,142.09680739019836,BOT
23,223.03220509685636,224.4723617332747,RIC
24,228.38319067197565,220.6749009192111,BOT
25,262.9500010666667,257.46766247726566,BOT
