Minisector,RAI,ALO,Fastest
0,279.96943692917915,273.1720196176532,RAI
1,237.3685890880026,233.65776018919178,RAI
2,116.10882243382306,119.85505748460132,ALO
3,193.09854381152147,190.7453597838497,RAI
4,180.425647554406,185.2807028687442,ALO
5,217.34015440007988,216.03143283977792,RAI
6,281.8195577751095,270.8508048881752,RAI
7,299.599103790593,286.5341907497055,RAI
8,184.98431968929765,189.4810245950227,ALO
9,130.4734500989129,138.0313028798933,ALO
10,132.2724928877548,135.64585419736403,ALO
11,191.36019933188226,190.68766228916616,RAI
12,224.2261421087629,232.0152379230768,ALO
13,130.56841971667905,138.4363656247907,ALO
14,156.00531255668483,163.47306792493723,ALO
15,122.00103244792527,122.58762241898927,ALO
16,256.8982223458857,249.62609636936975,RAI
17,146.07677050392246,153.5240799300613,ALO
18,200.35156632063547,192.72016209764203,RAI
19,136.94685954284728,143.26631221461298,ALO
20,148.7638666087017,152.4797639000781,ALO
21,126.45335384760816,128.60089847424237,ALO
22,142.28052678359066,142.73583418110226,ALO
23,217.44429604737337,223.34632912677057,ALO
24,230.47488323701455,235.41816870327838,ALO
25,263.04166933333335,261.1833322666667,RAI
