Minisector,SAI,HUL,Fastest
0,274.28458615155984,273.87212813383303,SAI
1,228.3173509802036,229.895231916695,HUL
2,115.86228411474036,114.8468941966813,SAI
3,185.91873757731798,188.41419019540933,HUL
4,176.11241600345585,177.17815528088366,HUL
5,212.97788343780212,218.5755453855845,HUL
6,269.662561046318,272.8006707815497,HUL
7,286.49102476956085,289.6238412539931,HUL
8,186.55791457738886,175.53184882003205,SAI
9,131.8487317277424,132.15809191149205,HUL
10,132.4865050730232,132.54112800934087,HUL
11,188.1983688492825,186.30707534501553,SAI
12,228.9855914717003,222.40567367678486,SAI
13,129.6606301791192,132.2759219341623,HUL
14,162.0654350937131,157.19455236149776,SAI
15,117.69023198644187,117.71507827125481,HUL
16,250.31680430052992,250.06973722287276,SAI
17,149.11267485951487,145.51977981852878,SAI
18,195.5672258499284,197.41922309979242,HUL
19,131.18589085265967,134.34173072082677,HUL
20,152.95078157803846,151.50457758367762,SAI
21,124.01733782438427,125.4613156625944,HUL
22,139.54896085576627,140.23296693024284,HUL
23,217.67522824264137,214.64750069780806,SAI
24,228.34940982773355,228.54597248374816,HUL
25,258.71666346666666,259.36785645714286,HUL
