Minisector,SAI,LEC,Fastest
0,274.28458615155984,273.94688672422393,SAI
1,228.3173509802036,225.2189235360587,SAI
2,115.86228411474036,113.3412010585356,SAI
3,185.91873757731798,191.8304613865407,LEC
4,176.11241600345585,181.826568792566,LEC
5,212.97788343780212,219.540881001664,LEC
6,269.662561046318,275.8376527581535,LEC
7,286.49102476956085,292.0844495157776,LEC
8,186.55791457738886,179.94563991294729,SAI
9,131.8487317277424,134.05194549910408,LEC
10,132.4865050730232,133.26438919763456,LEC
11,188.1983688492825,185.33976695176136,SAI
12,228.9855914717003,225.28681298079573,SAI
13,129.6606301791192,132.8181320462119,LEC
14,162.0654350937131,159.8218930124275,SAI
15,117.69023198644187,116.39497457119406,SAI
16,250.31680430052992,250.05125805586374,SAI
17,149.11267485951487,151.0494129835165,LEC
18,195.5672258499284,194.69485283231543,SAI
19,131.18589085265967,136.88938159684798,LEC
20,152.95078157803846,152.45911256463594,SAI
21,124.01733782438427,124.1396277601592,LEC
22,139.54896085576627,143.5501798096643,LEC
23,217.67522824264137,216.51023147712442,SAI
24,228.34940982773355,225.10659340487607,SAI
25,258.71666346666666,259.8958293333333,LEC
