Minisector,BOT,SAI,Fastest
0,288.6481477671957,285.56993851487533,BOT
1,301.4077888566477,295.47451794952445,BOT
2,306.0294486990909,299.8556573641949,BOT
3,307.624181647619,301.01200945143603,BOT
4,183.87114710147623,174.07662870385076,BOT
5,207.16589321224774,203.93662969095644,BOT
6,242.8500004254476,213.79869568844558,BOT
7,266.90895906967415,253.80024624083958,BOT
8,280.94428319854785,268.3272842084979,BOT
9,170.35585174554535,166.75263084124808,BOT
10,230.43127863547818,230.30386459805095,BOT
11,146.39471164420016,140.39213020311092,BOT
12,220.35894659808562,217.6977665411391,BOT
13,213.60945893191797,201.10040650033255,BOT
14,207.30330162056418,209.9898924373092,SAI
15,250.90189791120537,244.11570929245943,BOT
16,262.0248898274342,254.77553546885557,BOT
17,284.12260308855224,277.98732287480334,BOT
18,168.3916873173605,156.98374269788647,BOT
19,146.18616166687622,155.70240291556408,SAI
20,146.63510258484263,145.34089214095218,BOT
21,173.2110557158988,172.46823337454975,BOT
22,120.85923568040972,118.38327689173502,BOT
23,215.81642529433805,218.59765649833594,SAI
24,268.38163845445655,264.9415255108267,BOT
25,,278.15062757472737,SAI
