Minisector,HAM,PER,Fastest
0,289.6525622177417,304.4073270843296,PER
1,301.1042590035693,324.2342794855666,PER
2,307.2207214463325,334.3386044033229,PER
3,309.0683174677555,332.82603174603173,PER
4,181.8833228005788,170.87021464332008,HAM
5,220.33622258325784,198.05471329683755,HAM
6,244.8087646984067,232.62714785517727,HAM
7,268.5934857058201,262.72304699753033,HAM
8,272.289271687105,267.76005683885785,HAM
9,167.38442936512203,159.41356733917894,HAM
10,233.12148498478433,224.5822935687363,HAM
11,145.24433920272176,136.38662610212512,HAM
12,224.73103364809793,212.31305330989287,HAM
13,205.0212854940818,194.76912158887185,HAM
14,213.81694803009614,206.00812395076457,HAM
15,246.49982717167345,239.08539480889925,HAM
16,260.5763168341244,249.84777562120865,HAM
17,284.7989463363651,282.00744271243434,HAM
18,147.37171464486732,145.9828735366399,HAM
19,159.46250554992326,158.548336411654,HAM
20,150.9988497913647,141.57543429008888,HAM
21,170.06077573787235,158.39367352144393,HAM
22,121.23228875515468,119.98257867236809,HAM
23,222.849425805403,220.62127275278036,HAM
24,274.58543984014545,267.14534683559555,HAM
