Minisector,HAM,VET,Fastest
0,289.6525622177417,292.93378831974945,VET
1,301.1042590035693,304.3804579651934,VET
2,307.2207214463325,309.18200547005824,VET
3,309.0683174677555,310.14511632133144,VET
4,181.8833228005788,178.0541142411243,HAM
5,220.33622258325784,218.1312685417318,HAM
6,244.8087646984067,246.03890112430526,VET
7,268.5934857058201,269.17775340645227,VET
8,272.289271687105,272.0771911232971,HAM
9,167.38442936512203,168.84722844314862,VET
10,233.12148498478433,236.6671277400253,VET
11,145.24433920272176,143.51823228456308,HAM
12,224.73103364809793,224.94061746396224,VET
13,205.0212854940818,206.0351391764105,VET
14,213.81694803009614,216.80037728711304,VET
15,246.49982717167345,250.19911145194564,VET
16,260.5763168341244,263.20924415428857,VET
17,284.7989463363651,286.66548166399417,VET
18,147.37171464486732,151.45401106006906,VET
19,159.46250554992326,158.4510397784995,HAM
20,150.9988497913647,148.18415250777548,HAM
21,170.06077573787235,169.60453320463694,HAM
22,121.23228875515468,120.90139051000443,HAM
23,222.849425805403,225.1527878193858,VET
24,274.58543984014545,274.179712015887,HAM
25,,289.26359880590365,VET
