Minisector,RIC,MAG,Fastest
0,302.6686364992577,301.90717949307793,RIC
1,320.1134938146058,319.7908856,RIC
2,329.7572157997733,328.82307184782337,RIC
3,322.0835189572623,329.41893596190477,MAG
4,175.45504671930433,165.4460521379686,RIC
5,220.0443367585188,201.6757055723257,RIC
6,250.58002109133344,240.00760947359967,RIC
7,267.0046328124728,263.80519562413406,RIC
8,271.2078949614035,278.766353433263,MAG
9,175.91291297910124,164.43131552099797,RIC
10,231.5143546158168,225.17303662667,RIC
11,145.10577111385237,142.85055870402513,RIC
12,221.38787618179856,217.9147386939635,RIC
13,208.1258612732827,208.15393338023668,MAG
14,212.99113378542094,206.7489084920364,RIC
15,252.67479157333332,248.9242547711956,RIC
16,262.68699929541015,255.30936113586614,RIC
17,282.2705697857399,281.58068305302413,RIC
18,146.98252467609,157.1387280693808,MAG
19,160.62589126869406,153.34087258317157,RIC
20,152.3419120371141,141.8873854632165,RIC
21,175.05137196400142,173.21671268840933,RIC
22,124.4786650665314,118.42022408688845,RIC
23,224.04416336746428,217.81339138669216,RIC
24,267.2477964434484,269.1444369598629,MAG
