X,Y,Minisector,Fastest
-1514.5139678789938,-252.1198230073975,0,VET
-1423.7722103528702,-321.3609232929325,0,VET
-1372.0,-361.0,0,VET
-1286.6620450774824,-426.6107451931268,0,VET
-1229.0,-471.0,0,VET
-1166.9618506806246,-518.7073501345405,0,VET
-1070.0,-593.0,0,VET
-1038.186358180292,-617.2363170628723,0,VET
-911.0,-714.0,0,VET
-777.1011998123605,-817.3000413797993,0,VET
-745.0,-842.0,0,VET
-654.3718690692857,-911.1891383990247,0,VET
-594.0,-957.0,0,VET
-528.427535849898,-1006.675242533705,0,VET
-482.0,-1042.0,0,VET
-380.5333047774007,-1119.8759438681577,0,VET
-292.0,-1188.0,0,VET
-233.80397800182948,-1232.6364797891777,0,VET
-125.0,-1316.0,0,VET
-103.22690391233525,-1332.7415041367387,0,VET
29.990721377404366,-1435.5050528590232,0,VET
41.0,-1444.0,0,VET
174.47020312833806,-1546.8576066967375,0,VET
223.0,-1584.0,1,VET
321.6675733030643,-1658.9033983466625,1,VET
406.0,-1723.0,1,VET
467.0715494141613,-1769.8441546267086,1,VET
588.0,-1863.0,1,VET
614.5153053854658,-1883.3256519514255,1,VET
774.8368122586392,-2005.7154262716062,1,VET
787.0,-2015.0,1,VET
921.05591788224,-2117.470582000095,1,VET
970.0,-2155.0,1,VET
1075.6322282514957,-2236.2206776901844,1,VET
1168.0,-2307.0,1,VET
1232.5165998995226,-2356.0571360461754,1,VET
1359.0,-2452.0,1,VET
1384.4528761138538,-2471.453753398517,1,VET
1549.0,-2598.0,1,VET
1561.2426045938294,-2607.400574060908,1,VET
1706.2053570060543,-2718.3189300021695,1,VET
1732.0,-2738.0,1,VET
1870.6617608617048,-2843.636792485806,1,VET
1938.0,-2895.0,2,HAM
2024.1418598431965,-2960.8985677148753,2,HAM
2120.0,-3035.0,2,HAM
2170.965348067054,-3074.89288736531,2,HAM
2316.0,-3189.0,2,HAM
2328.8601797376423,-3199.038155957405,2,HAM
2479.5181641546537,-3315.4486297800518,2,HAM
2505.0,-3335.0,2,HAM
2635.810458375127,-3435.032230320279,2,HAM
2702.0,-3486.0,2,HAM
2795.221016395874,-3558.5936614599486,2,HAM
2891.0,-3631.0,2,HAM
2931.3350502824032,-3658.9559770494343,2,HAM
3025.0,-3717.0,2,HAM
