Minisector,HAR,ERI,Fastest
0,244.97685222665177,250.33742716034314,ERI
1,282.0063492063492,283.2241666666667,ERI
2,172.2717093252151,170.1101319727715,HAR
3,161.11708501247793,161.74160052910054,ERI
4,254.82618874812658,255.01754067623688,ERI
5,271.12099673926394,268.7564935064935,HAR
6,224.3653809042097,229.58899387592584,ERI
7,199.34846068352766,202.74638752052545,ERI
8,159.6462060427802,162.17708359917557,ERI
9,215.45499918696623,207.9191758367347,HAR
10,269.2108921234795,267.5849754810052,HAR
11,127.62723852652103,133.44054592044318,ERI
12,214.67557179823632,209.43511927619048,HAR
13,273.99833360039355,271.34511038913473,HAR
14,295.45463642305765,292.56446438095236,HAR
15,304.04833333333335,300.53750016,HAR
16,239.6504804798216,235.6347893082141,HAR
17,128.81538931578163,129.7341717622469,ERI
18,126.77194187358074,128.92534907175016,ERI
19,116.47306969006901,118.00322559497837,ERI
20,221.76929905347984,221.5488862217691,HAR
21,252.29790041672783,254.08147188908342,ERI
22,230.6549006241758,235.37804291282052,ERI
23,214.43377883338746,210.83688014447088,HAR
24,134.84954472363003,131.6222277355174,HAR
25,217.5,214.52812853333333,HAR
