X,Y,Minisector,Fastest
-1539.2701281887746,-232.74432034911104,0,HUL
-1505.0,-259.0,0,HUL
-1462.9007002799715,-291.3324786674949,0,HUL
-1332.0,-392.0,0,HUL
-1325.4792227136506,-396.99380262909267,0,HUL
-1220.3048273381016,-477.1628059778974,0,HUL
-1197.0,-495.0,0,HUL
-1083.2433454261068,-582.523073063452,0,HUL
-1023.0,-629.0,0,HUL
-961.2971681101214,-676.662199901364,0,HUL
-888.0,-733.0,0,HUL
-850.4335202452775,-761.6309612016032,0,HUL
-721.0,-860.0,0,HUL
-713.7266845135277,-865.5562338178023,0,HUL
-603.8625254921467,-949.8888253268884,0,HUL
-554.0,-988.0,0,HUL
-456.78627761440197,-1061.7464777118064,0,HUL
-363.0,-1133.0,0,HUL
-307.2636235004649,-1175.7502469502217,0,HUL
-189.0,-1267.0,0,HUL
-170.03640445186386,-1281.567684070041,0,HUL
-30.063752816197205,-1388.6854910118727,0,HUL
-14.0,-1401.0,0,HUL
114.9942371353224,-1500.1875740371177,0,HUL
168.0,-1541.0,0,HUL
285.1803250410582,-1631.206066443088,1,HUL
350.0,-1681.0,1,HUL
503.7759964300742,-1798.6812173477756,1,HUL
533.0,-1821.0,1,HUL
655.8301968495638,-1914.711872155544,1,HUL
723.0,-1966.0,1,HUL
803.617360843092,-2027.6712129334567,1,HUL
906.0,-2106.0,1,HUL
953.5575527952981,-2142.310691108775,1,HUL
1105.0,-2258.0,1,HUL
1113.2555383166289,-2264.3355366258024,1,HUL
1258.2340328487026,-2375.982733870514,1,HUL
1287.0,-2398.0,1,HUL
1409.5740859246418,-2491.04767510401,1,HUL
1478.0,-2543.0,1,HUL
1561.7529611082082,-2606.952601005367,1,HUL
1661.0,-2683.0,1,HUL
1721.4491672915171,-2729.2617064138217,1,HUL
1819.0,-2804.0,1,HUL
1849.126363150007,-2827.162113552037,1,HUL
1996.5928897539907,-2940.6230883901967,2,HAR
2001.0,-2944.0,2,HAR
2148.970368971609,-3057.2143182075374,2,HAR
2191.0,-3090.0,2,HAR
2297.40941630231,-3175.0979238713885,2,HAR
2378.0,-3239.0,2,HAR
2455.9935604189695,-3299.0740374173665,2,HAR
2584.0,-3396.0,2,HAR
2618.197829840662,-3422.0245681628935,2,HAR
2765.0,-3534.0,2,HAR
2786.2231137982358,-3550.053752590816,2,HAR
2934.958526443332,-3660.2193264455386,2,HAR
2949.0,-3670.0,2,HAR
3035.2078727361904,-3724.075173721787,2,HAR
3067.0,-3743.0,2,HAR
3126.0232870111827,-3779.323337660011,2,HAR
3185.0,-3816.0,2,HAR
3206.8749633460075,-3829.4666007609167,2,HAR
3301.8169493134806,-3887.6444921180496,2,HAR
3304.0,-3889.0,2,HAR
3371.0,-3931.0,2,HAR
3381.017885258338,-3937.216431842983,2,HAR
3448.4030765491084,-3978.339306690431,2,HAR
3456.0,-3983.0,2,HAR
3517.0493349597996,-4020.8399350177015,2,HAR
3540.0,-4035.0,2,HAR
3575.3510680872164,-4056.478411189707,2,HAR
3610.0,-4074.0,2,HAR
3635.529898962655,-4083.99430801676,2,HAR
3694.0,-4100.0,2,HAR
3701.8397859668976,-4101.110224782358,2,HAR
3748.1397185408873,-4097.477660924646,2,HAR
3753.0,-4096.0,2,HAR
3790.852704157113,-4077.504454827777,2,HAR
3805.0,-4067.0,2,HAR
3827.1069216270707,-4044.8480297283377,2,HAR
3844.0,-4022.0,3,HUL
