X,Y,Minisector,Fastest
-3236.0729129761785,5899.107902541087,0,NOR
-3229.0,5900.0,0,NOR
-3107.637801347499,5915.357699096558,0,NOR
-2992.0,5930.0,0,NOR
-2924.581269552874,5938.5058283354665,0,NOR
-2794.0,5955.0,0,NOR
-2772.115101459281,5957.7912557794025,0,NOR
-2621.3664839651933,5976.983055526084,0,NOR
-2605.0,5979.0,0,NOR
-2485.0920237310024,5993.3332951127895,0,NOR
-2397.0,6004.0,0,NOR
-2312.646356803056,6014.649469341785,0,NOR
-2178.0,6032.0,0,NOR
-2138.5474812739035,6037.00705153875,0,NOR
-1973.2503685086326,6057.599736450464,0,NOR
-1970.0,6058.0,0,NOR
-1824.2088203956407,6075.809161422883,0,NOR
-1782.0,6081.0,0,NOR
-1659.2484421394995,6096.266985961537,0,NOR
-1573.0,6107.0,0,NOR
-1524.1451291934632,6113.0399065322845,0,NOR
-1444.0,6123.0,0,NOR
-1361.5121211436053,6133.495068284405,0,NOR
-1216.0,6152.0,0,NOR
-1171.4929667282083,6157.505556395354,0,NOR
-978.0,6181.0,1,PER
-953.7411687137932,6183.986405461199,1,PER
-798.0315953425187,6203.582192879977,1,PER
-779.0,6206.0,1,PER
-587.3786747684179,6230.38059409401,1,PER
-511.0,6240.0,1,PER
-417.76083443138367,6251.58017252079,1,PER
-283.0,6268.0,1,PER
-244.52141825807308,6272.646005679667,1,PER
-87.02310626448717,6291.630063647525,1,PER
-84.0,6292.0,1,PER
47.486614176482725,6308.443850678491,1,PER
83.0,6313.0,1,PER
183.43174709173422,6326.0983885182095,1,PER
252.0,6335.0,1,PER
309.2647604175261,6342.272158886424,1,PER
391.0,6352.0,1,PER
412.8694977720196,6354.34012505372,1,PER
490.748273858808,6363.443952782387,1,PER
510.0,6367.0,1,PER
602.8011239662126,6390.166779966374,1,PER
644.0,6403.0,1,PER
677.5191368305534,6416.506584197502,1,PER
712.0,6445.0,1,PER
735.3450832325041,6469.460092301966,1,PER
806.6773563581913,6557.816320485827,1,PER
813.0,6568.0,1,PER
844.1476930324981,6651.136460552484,1,PER
849.0,6682.0,1,PER
851.604264033333,6737.159720942539,1,PER
847.0,6791.0,2,NOR
840.4216722491218,6829.1948362621515,2,NOR
822.0,6909.0,2,NOR
819.4280173805013,6920.0248276807015,2,NOR
804.1071870452566,6987.460394913267,2,NOR
802.0,6997.0,2,NOR
783.0359353725595,7083.8384160115065,2,NOR
768.0,7153.0,2,NOR
754.2140992329028,7216.362686315934,2,NOR
734.0,7309.0,2,NOR
728.7145390065737,7333.090983667203,2,NOR
704.6818715655346,7442.850239427767,2,NOR
704.0,7446.0,2,NOR
661.134186981476,7644.878313934128,2,NOR
645.0,7719.0,2,NOR
605.6181688519863,7898.497250489124,2,NOR
589.0,7974.0,2,NOR
560.9896988784432,8100.952459580577,2,NOR
546.0,8169.0,2,NOR
530.2797691606245,8240.741717832878,2,NOR
504.0,8364.0,2,NOR
496.9126652443648,8399.009078569801,2,NOR
464.8562047522188,8546.852667911364,2,NOR
464.0,8550.0,2,NOR
414.10642288670545,8699.16189825309,2,NOR
398.0,8737.0,2,NOR
363.41394761057126,8804.7097399624,2,NOR
306.0,8879.0,3,PER
246.73569400223585,8932.391297096885,3,PER
141.0,9007.0,3,PER
114.71793676191137,9021.78339911137,3,PER
4.990130343476401,9062.981603247657,3,PER
2.0,9064.0,3,PER
-173.89570153319048,9123.971783997871,3,PER
-224.0,9141.0,3,PER
-348.74813472157325,9183.173061579959,3,PER
-432.0,9211.0,3,PER
-507.5673482949724,9235.957248065506,3,PER
-622.0,9274.0,3,PER
