Minisector,LEC,MAG,Fastest
0,295.2349758139858,288.1870856486544,LEC
1,202.10764085795222,195.10720860063702,LEC
2,228.77390767266456,227.20114289753252,LEC
3,276.1194706966263,270.96248411299723,LEC
4,243.07551361328677,230.8326397574251,LEC
5,125.91072440038141,126.06921478445646,MAG
6,208.40101092241028,209.50246094042225,MAG
7,258.396921409573,256.4734304317113,LEC
8,210.04879670380913,204.3130730189999,LEC
9,209.550523409122,207.8511613666329,LEC
10,267.98456512448007,261.9916225979027,LEC
11,211.22789360113123,204.64124028440085,LEC
12,176.25726337110865,177.4768396312303,MAG
13,262.45254098753054,256.07125769433105,LEC
14,281.4165457955268,276.97202825486653,LEC
15,254.9897580163798,256.787557442551,MAG
16,238.7824829111365,238.8934621508915,MAG
17,271.6266030829787,270.342304451212,LEC
18,284.7560909411382,282.8518678754155,LEC
19,180.32284073287843,171.9524120684228,LEC
20,212.4124651693499,212.15212726281055,LEC
21,179.08082061388777,166.98990782569015,LEC
22,141.49072188691954,145.55048541527484,MAG
23,239.98636635000616,238.39682832346898,LEC
24,282.38924623370133,275.5088892305231,LEC
