Minisector,HAM,NOR,Fastest
0,293.0104818062341,288.55935270915575,HAM
1,297.02574404761907,289.17927966546483,HAM
2,163.97154842532328,160.66269483275482,HAM
3,229.7029217345098,231.66628640728877,NOR
4,278.1059116414882,276.6204600281504,HAM
5,296.47509598243624,294.605798215009,HAM
6,303.65183023114423,297.1832288075937,HAM
7,158.0035585791946,143.8739000904698,HAM
8,139.05185546691777,147.999715986283,NOR
9,254.3046174014502,255.0779598802035,NOR
10,286.4046000432194,284.1087796285714,HAM
11,295.7705379242145,290.2382196946928,HAM
12,138.96711521788572,137.37504226462102,HAM
13,203.18768580712776,209.31773175254986,NOR
14,259.6736973186638,258.472034770345,HAM
15,207.18467193275868,191.9622387123268,HAM
16,224.43832284379556,227.65852985440165,NOR
17,216.06354904356434,204.81152420069975,HAM
18,244.41895661652615,250.44578961110378,NOR
19,278.6033792410807,281.4447642724127,NOR
20,295.3858035804466,291.9809415935972,HAM
21,263.57446386894867,249.74849572602903,HAM
22,226.12601813782544,210.38969452305338,HAM
23,212.29627987738124,213.32146578372823,NOR
24,266.6236616719255,268.5373263755923,NOR
25,285.1785728,,HAM
