X,Y,Minisector,Fastest
1329.4267818937797,-1122.2814994794612,0,RAI
1263.0,-1140.0,0,RAI
1175.0545206062461,-1163.4669253375544,0,RAI
1069.0,-1192.0,0,RAI
1012.4216424707984,-1207.3928037939925,0,RAI
838.0,-1255.0,0,RAI
826.1331201210272,-1258.2104132620418,0,RAI
657.1727474098786,-1303.4247797143914,0,RAI
625.0,-1312.0,0,RAI
504.6000504760613,-1344.079698914307,0,RAI
471.0,-1353.0,0,RAI
326.49986972147354,-1391.135095662316,0,RAI
248.0,-1412.0,0,RAI
139.75874075880628,-1441.1270886125792,0,RAI
7.0,-1477.0,0,RAI
-52.651814988959856,-1493.0178203089815,0,RAI
-224.0,-1539.0,0,RAI
-236.22572638084705,-1542.3137927612258,0,RAI
-420.6434389542852,-1592.6863008034431,1,RAI
-455.0,-1602.0,1,RAI
-609.1706404142607,-1643.296075663722,1,RAI
-687.0,-1664.0,1,RAI
-752.3142790484409,-1681.353932898482,1,RAI
-890.0,-1718.0,1,RAI
-917.9745452467989,-1725.482524857004,1,RAI
-1151.0,-1788.0,1,RAI
-1239.4671754586184,-1811.7010224943735,1,RAI
-1431.0,-1863.0,1,RAI
-1465.4009124563083,-1872.2312110605749,1,RAI
-1690.0583785146378,-1932.632800396963,1,RAI
-1710.0,-1938.0,1,RAI
-1865.106076198735,-1979.7582264406083,1,RAI
-1922.0,-1995.0,1,RAI
-2029.4961695085706,-2023.6168993990618,2,NOR
-2125.0,-2049.0,2,NOR
-2158.630483472287,-2057.966679977634,2,NOR
-2289.0,-2093.0,2,NOR
-2307.2700000446116,-2097.9673671820956,2,NOR
-2429.05926499047,-2131.237673567694,2,NOR
-2443.0,-2135.0,2,NOR
-2594.3382102123533,-2175.275366189765,2,NOR
-2616.0,-2181.0,2,NOR
-2687.0441246616474,-2199.708339422324,2,NOR
-2722.0,-2209.0,2,NOR
-2772.9364930730344,-2222.715750201986,2,NOR
-2837.0,-2240.0,2,NOR
-2863.604033432847,-2247.10331679987,2,NOR
