Minisector,SAI,RAI,Fastest
0,301.3857355842386,288.7345348011093,SAI
1,291.780215980599,291.2071247091154,SAI
2,151.61219576152442,156.4003548865028,RAI
3,231.38449667340515,223.51779863314277,SAI
4,285.7337560659557,272.58639273821694,SAI
5,309.96758710960006,292.3886855546386,SAI
6,322.51627110322863,297.2182706026388,SAI
7,138.6223642266767,167.4598404883588,RAI
8,148.63731861381459,133.76448828926266,SAI
9,263.6439364799005,249.11333266699407,SAI
10,302.06530427854875,282.69932324571346,SAI
11,315.3253475473649,293.6777777777778,SAI
12,137.68480952589783,154.64227666647574,RAI
13,206.50198385953033,189.30036575311897,SAI
14,250.71872532779773,254.00209662401008,RAI
15,195.95157910062113,201.11817455351473,RAI
16,222.90566661796504,210.74047701218134,SAI
17,212.06391554798654,209.0845069456089,SAI
18,247.83986041480406,239.11011101565708,SAI
19,276.9532243293476,272.61629863800863,SAI
20,284.0,289.7920992277373,RAI
21,258.62031469082456,262.0188907949202,RAI
22,223.46918695501594,228.07463460605928,RAI
23,208.27941668062957,197.81454718015277,SAI
24,263.60111825102047,255.92194581971606,SAI
25,,278.1277777777778,RAI
