Minisector,VER,LEC,Fastest
0,295.6469376690346,292.5442163636124,VER
1,294.34543497751827,298.0889365715343,LEC
2,163.3683627802696,162.69078384354734,VER
3,231.61299658510347,227.12388050834247,VER
4,285.3041881117747,278.111199199229,VER
5,310.89285714285717,296.76982428632317,VER
6,315.4478175085714,301.4227902352217,VER
7,153.44937051233617,173.89483145800037,LEC
8,139.5736872338697,130.9074871366967,VER
9,255.37229185969153,253.6033721683853,VER
10,294.7923038701586,285.9345690031765,VER
11,303.8966836353742,297.3322722813608,VER
12,144.3600900478518,152.33520037619795,LEC
13,200.27284715135087,188.17017962044747,VER
14,252.42915867509112,259.72741967284213,LEC
15,205.65380179199022,207.0345935042337,LEC
16,224.10958825578683,224.2676645223628,LEC
17,214.69877245193706,216.48945741910674,LEC
18,247.31364423701203,243.64549816044135,VER
19,279.14446917176855,276.4816552255573,VER
20,294.2133673403535,295.1413740623007,LEC
21,262.16638193331664,268.92660550886535,LEC
22,227.6765764259149,233.75902874012425,LEC
23,217.24213655084196,200.06174851614165,VER
24,269.21352089678385,262.4779634161757,VER
25,284.55000106666665,281.92500053333333,VER
