Minisector,VET,RAI,Fastest
0,291.9063623373494,296.62954490735933,RAI
1,161.03539966996362,156.05297421696213,VET
2,155.83020937614035,153.8258709201096,VET
3,228.09761843809522,222.8138303316964,VET
4,285.5611278575569,282.9921808969697,VET
5,288.4390257447741,291.8274590923723,RAI
6,148.68650046071164,145.19719709413067,VET
7,146.85333638803988,140.24352814914258,VET
8,147.04718757056278,148.88475813295582,RAI
9,190.01351073949175,180.00550137089002,VET
10,132.47693982352976,130.72984824755844,VET
11,124.27699099203691,125.45775721590664,RAI
12,167.90722513049204,159.59179111127355,VET
13,269.44602169766233,263.67412884234676,VET
14,290.1608817388821,289.37797654025974,VET
15,151.66673243851469,154.63456652152118,RAI
16,211.3942203526882,216.026717638475,RAI
17,177.1385509317614,162.94143951550672,VET
18,272.9086799111111,267.65630052063494,VET
19,294.73389990022673,292.9245134060606,VET
20,308.11467238095236,304.9158732190476,VET
21,315.62220707689846,313.3007145142857,VET
22,318.7167919799499,316.6348461681999,VET
23,319.91208330666666,318.7180555174603,VET
24,319.1317432932101,319.53312496,RAI
25,317.6916672,319.0,RAI
