Minisector,BOT,RAI,Fastest
0,305.20818104280613,310.4549879630871,RAI
1,319.9743574745206,329.70736184597007,RAI
2,288.8529311547524,304.6218877633773,RAI
3,114.96432596379833,110.55295672080038,BOT
4,226.31442851607756,224.48810461851264,BOT
5,274.825,273.00391349052455,BOT
6,226.21311012086238,216.1756958066674,BOT
7,167.2470763966651,163.6100561852403,BOT
8,202.4757597878165,193.99650234573812,BOT
9,220.12244199947762,210.53451007756325,BOT
10,115.14229539599239,113.91409730698015,BOT
11,228.8800478475381,226.92476492993742,BOT
12,116.3751729082292,116.58251016413102,RAI
13,223.702617459225,227.48861978059352,RAI
14,272.2925423897226,283.42205704781276,RAI
15,227.93538339704224,206.49741998755533,BOT
16,198.72293486180462,194.40885241007234,BOT
17,254.69520097578567,254.22539010632755,BOT
18,209.12955991544368,197.72968954275524,BOT
19,184.18931580678682,180.22745559396174,BOT
20,269.02284562963746,269.8991654102331,RAI
21,294.5531954689212,295.05931664085244,RAI
22,160.69227826172366,157.27313911051397,BOT
23,208.53103046663168,209.09529847519235,RAI
24,272.98798712477515,279.2133609210897,RAI
25,286.37916693333335,296.56666666666666,RAI
