Minisector,LEC,GAS,Fastest
0,295.8840655353868,293.01091297076607,LEC
1,304.6342263957672,303.0576755087719,LEC
2,297.4296431197884,287.93030038120156,LEC
3,115.48915027844048,115.64444433260365,GAS
4,230.65071724045123,230.0010815685223,LEC
5,269.8171942850506,265.106759865202,LEC
6,217.8868947031759,196.97072406083262,LEC
7,169.17467147345585,170.6470163665637,GAS
8,204.84270441587952,191.58717811101147,LEC
9,222.1117505523845,206.25185492244788,LEC
10,117.75683213334308,118.48928584442805,GAS
11,235.6302047239898,232.88080020455928,LEC
12,120.21018216868191,114.9555060444573,LEC
13,228.35918829174292,227.39469097533362,LEC
14,276.6785488635118,272.64634617057476,LEC
15,223.17121735446267,211.7846617685857,LEC
16,205.17751295218915,200.88896184912716,LEC
17,259.46097751881905,247.94956497497614,LEC
18,208.18437884634196,195.49786950504358,LEC
19,187.81926435139164,190.65993374268913,GAS
20,273.47341670703736,269.8253206010135,LEC
21,297.4959279932571,296.290871192527,LEC
22,173.79722414151766,160.45790379499192,LEC
23,216.70313113560266,217.4752719190102,GAS
24,275.5222917831382,274.37792285158014,LEC
