Minisector,VER,ALB,Fastest
0,291.2610157992419,305.7092547380755,ALB
1,300.55955311075695,321.72526459732023,ALB
2,285.41689585005463,297.19831534475304,ALB
3,112.8281834036576,105.41442728412036,VER
4,226.22271286009519,225.6784976263282,VER
5,265.3547883751655,281.2609733320941,ALB
6,206.76138644795103,214.95192659940773,ALB
7,164.4231963457875,157.548656548246,VER
8,201.49241861659172,191.05087358798124,VER
9,217.60495840815886,203.0081310284892,VER
10,112.98012259298349,110.08106871502285,VER
11,227.68759451308443,224.18602592610418,VER
12,115.67527975881345,116.7902177558138,ALB
13,221.67945577829633,218.32330812678364,VER
14,271.7897445275787,270.25319973082003,VER
15,225.40392006518584,211.7413142421176,VER
16,203.89407698327182,195.33523326040458,VER
17,250.59258129063141,248.08894054127538,VER
18,201.20999134698442,204.96617262634854,ALB
19,184.8782929295813,181.77384805800602,VER
20,267.81655403313755,266.85477202309573,VER
21,294.2116394833481,294.3827266840532,ALB
22,163.03819898720658,160.2573721629223,VER
23,210.9077092986252,205.053782275217,VER
24,271.6590394740443,269.77509998114476,VER
25,283.97499946666665,284.1250005333333,ALB
