Minisector,HAM,BOT,Fastest
0,250.89174637714285,258.12303604317464,BOT
1,140.301917269394,138.3823811734164,HAM
2,265.7187508571429,261.8569467945739,HAM
3,306.02397899701856,306.62270940661745,BOT
4,303.89666653866664,305.83177106666665,BOT
5,310.5034852396393,312.03033335466665,BOT
6,314.78858508888885,317.6786232115942,BOT
7,313.9138814480082,316.7823200091262,BOT
8,212.12212197248675,213.42921853357248,BOT
9,203.5824688170887,199.42997526007136,HAM
10,194.1756720221916,192.1810898472598,HAM
11,170.68979666141087,166.5702776234889,HAM
12,248.8695844977778,250.86914971954022,BOT
13,276.4332671362556,281.8740744691358,BOT
14,280.6059635942301,279.8603395160494,HAM
15,279.7125970621177,282.7233037037037,BOT
16,192.53914389478612,193.98607503157893,BOT
17,198.9563800368243,197.7375267426881,HAM
18,241.9753453171886,243.5541900780338,BOT
19,287.043927678423,288.2999590236486,BOT
20,306.05430487159106,307.47641352169313,BOT
21,314.2579709217391,313.36160711111114,HAM
22,312.1610188398608,310.67552092063494,HAM
23,261.97924918752057,262.24782156252866,BOT
24,118.83169423063886,116.19523520080776,HAM
25,230.25,,HAM
