Minisector,LEC,KVY,Fastest
0,261.25944484935326,254.74734110984127,LEC
1,136.96930591738519,137.0290398912852,KVY
2,266.78139965170067,265.13593138798973,LEC
3,311.1791717995604,309.2301090603175,LEC
4,308.6541505227278,307.48578066224974,LEC
5,315.6074017391304,314.00431155942033,LEC
6,321.35425358888887,318.88300003352384,LEC
7,320.9215578898551,317.6104707532468,LEC
8,212.16491569273077,207.24403858320136,LEC
9,195.69672506658935,193.62330440256156,LEC
10,194.48099857243108,191.45601151238094,LEC
11,165.287694849806,163.40044063111517,LEC
12,252.45121281845715,242.95112704165535,LEC
13,277.05824167032966,269.92808588641975,LEC
14,281.5925929876543,272.338479612284,LEC
15,284.7977043162094,274.56733381388796,LEC
16,189.11237577458195,186.4420384673016,LEC
17,194.2130743572997,194.25944029489474,KVY
18,240.2565844313331,237.7374121976217,LEC
19,288.2377145478095,286.6504811897436,LEC
20,311.36799748591426,309.6397409355852,LEC
21,319.7119877067362,319.1092013968254,LEC
22,317.85368735877495,317.3866829734964,LEC
23,272.98152410864196,270.57286513553737,LEC
24,116.90216418679007,114.10258201118224,LEC
25,,230.06071222857142,KVY
