Minisector,LEC,PER,Fastest
0,261.25944484935326,262.5988567749413,PER
1,136.96930591738519,129.76728897163713,LEC
2,266.78139965170067,261.97198315402295,LEC
3,311.1791717995604,310.2032612972448,LEC
4,308.6541505227278,311.56887402539684,PER
5,315.6074017391304,321.63308721914,PER
6,321.35425358888887,336.0154762467909,PER
7,320.9215578898551,342.2540953757006,PER
8,212.16491569273077,201.99081591578948,LEC
9,195.69672506658935,188.8417714679391,LEC
10,194.48099857243108,182.41529476703724,LEC
11,165.287694849806,160.115742608793,LEC
12,252.45121281845715,243.6354977809811,LEC
13,277.05824167032966,275.04935506767185,LEC
14,281.5925929876543,273.59451949071513,LEC
15,284.7977043162094,272.4928777904762,LEC
16,189.11237577458195,181.87321962068572,LEC
17,194.2130743572997,188.73475521417578,LEC
18,240.2565844313331,234.89295365350804,LEC
19,288.2377145478095,283.7724777958477,LEC
20,311.36799748591426,306.89031181392915,LEC
21,319.7119877067362,315.4722222666667,LEC
22,317.85368735877495,310.6999481706004,LEC
23,272.98152410864196,252.10435435383317,LEC
24,116.90216418679007,115.87790358928586,LEC
