Minisector,VET,GAS,Fastest
0,263.3618000555664,250.74836864378693,VET
1,137.7437686230492,131.520893735455,VET
2,269.7214565591658,261.61106273103445,VET
3,311.94790381449275,305.0319773122184,VET
4,310.69565973333334,302.9668899111111,VET
5,319.2037202603174,310.534647752381,VET
6,324.8216189504817,314.52430555555554,VET
7,324.9069199038638,308.8819443953813,VET
8,207.35600454932361,199.01142314886314,VET
9,194.4208238715452,191.15343493460688,VET
10,191.60331259205512,178.69985633714361,VET
11,165.58843211615186,166.5246609970794,GAS
12,255.19109230344827,248.4371067359273,VET
13,278.6398809904762,266.89390653328013,VET
14,283.1755648781441,272.2580088459031,VET
15,288.43808672429793,268.92585167891156,VET
16,184.55220620429975,180.14012034301072,VET
17,194.23409917693692,192.07927775117204,VET
18,241.23899150207626,240.24292745430708,VET
19,289.6530296146291,285.91789505641026,VET
20,313.4802518285714,305.78383313066666,VET
21,322.23280123059163,312.44174095238094,VET
22,321.2600753602531,305.0201481930101,VET
23,269.97344493597234,249.53738498556066,VET
24,116.22946276475056,112.18736239393905,VET
