Minisector,RAI,HAM,Fastest
0,327.1565733116949,300.9833785154457,RAI
1,225.13508566936534,234.64661655931758,HAM
2,130.93833792289976,144.47278019937434,HAM
3,221.0607316474277,223.16280782271892,HAM
4,265.84619328164945,265.98172298001623,HAM
5,297.3308627696749,291.0636072296228,RAI
6,318.82876862316226,305.6183913155296,RAI
7,276.8146889711096,285.5165503717188,HAM
8,166.214400694095,182.1755850258952,HAM
9,241.21644755087718,244.21029306591578,HAM
10,275.6758429298261,273.9256556052664,RAI
11,260.9537729083216,266.9857757225133,HAM
12,204.04970972161323,213.8086874608489,HAM
13,125.1846751342852,136.1073101225657,HAM
14,123.94956658677084,128.42219186399979,HAM
15,163.0820101812421,173.11894836938518,HAM
16,121.87363151546364,127.22237092015644,HAM
17,231.57772808776204,232.90888783923344,HAM
18,176.61885939669517,200.94492378598565,HAM
19,164.32394896135122,166.7461475040127,HAM
20,249.3042778741994,247.57682556750655,RAI
21,277.80041093605297,275.5453135847416,RAI
22,295.99580674833777,292.69839491383385,RAI
23,312.0668498426288,302.2779138236363,RAI
24,323.02867727800464,308.2305789007575,RAI
25,,308.0,HAM
