Minisector,GAS,RIC,Fastest
0,276.9552913612443,280.5654419974455,RIC
1,294.84404154905206,296.32293075839436,RIC
2,292.6953653576609,290.4524997184107,GAS
3,184.90655426355286,175.33583877773626,GAS
4,130.0918009078397,129.18739569149554,GAS
5,242.3211141451966,245.97449125214797,RIC
6,283.9686136152986,295.5614353605707,RIC
7,289.6458339393939,298.13920794024835,RIC
8,178.05682999060787,169.09277674896893,GAS
9,145.27111280438749,149.4276931828459,RIC
10,255.7707521961409,258.298110987137,RIC
11,286.81778430554107,290.5447781757752,RIC
12,296.86128007213773,294.7040188156651,GAS
13,284.8809027111111,281.5078565577618,GAS
14,300.554035781995,302.38662421969065,RIC
15,299.3732405829982,303.02532563491377,RIC
16,251.5766587401419,247.69676036568035,GAS
17,230.78893331155328,234.57276952135337,RIC
18,282.4349233266519,292.9034570693196,RIC
19,303.43010316294874,321.3155398228479,RIC
20,306.1068588348126,321.49418874073956,RIC
21,231.28913719681134,205.5808765791404,GAS
22,261.6985792227791,256.6006469093212,GAS
23,137.70365276124744,135.95389951451995,GAS
24,218.227157926881,228.1821146129848,RIC
