Minisector,VER,RAI,Fastest
0,276.411362108993,269.84850613005887,VER
1,292.0867869777492,285.64557402495535,VER
2,289.07419158919026,276.3785173135762,VER
3,180.55895952739203,176.5316322234857,VER
4,134.22432221087053,130.44654163836734,VER
5,243.46106943649596,240.4025049145421,VER
6,283.93614871147633,278.5520415152221,VER
7,288.560725859125,285.64281445535715,VER
8,176.78448245912585,177.21974495560585,RAI
9,146.68220427366592,148.00393471511595,RAI
10,255.11088623455444,251.30023845712319,VER
11,286.1696521713598,280.4557019700102,VER
12,296.04314179859824,290.32746217835495,VER
13,282.887447565974,286.2450293705669,RAI
14,298.1290599952278,294.28739925611467,VER
15,294.9832506907982,289.9473849962093,VER
16,256.1231590871111,256.8934607963763,RAI
17,240.67932612170512,233.84473621396103,VER
18,285.5513623265806,278.67986856938006,VER
19,305.1211111111111,297.5616288872727,VER
20,306.28666663860906,303.6926244417333,VER
21,225.6102092267148,236.31084585731674,RAI
22,259.63921641042276,255.2159276481884,VER
23,141.69023472508692,143.05104826392918,RAI
24,224.71001448510123,220.61469475803833,VER
25,,258.27800728059174,RAI
