Minisector,LEC,BOT,Fastest
0,286.9935209770308,291.80781313333335,BOT
1,122.43118020729732,131.38741780194042,BOT
2,167.84240787252833,169.23645725714286,BOT
3,210.7384833921429,224.46043702032722,BOT
4,164.96728575587554,173.83594391247217,BOT
5,247.36112965102538,248.2356474074074,BOT
6,210.91689689608714,209.90156364444445,LEC
7,140.14783158119957,147.6128606710106,BOT
8,238.65000668434115,242.2009915767196,BOT
9,279.4822649934248,279.60212787856415,BOT
10,287.3539056,291.3754764088889,BOT
11,148.24600881139688,155.9709458790539,BOT
12,223.2475667186147,226.35702006971707,BOT
13,273.6192716888889,272.83009214814814,LEC
14,277.53815949469055,280.57195038285715,BOT
15,100.80482782814815,107.48994881269842,BOT
16,222.54242608484847,221.0779806273685,LEC
17,275.02708406666665,268.8629623703703,LEC
18,294.37498058338736,290.41838836265435,LEC
19,304.96797629968256,300.3024960060261,LEC
20,308.89296305777776,305.6482141714286,LEC
21,295.28474912239767,298.0418231239695,BOT
22,159.8004755047619,164.0843325514371,BOT
23,236.05348180489904,233.09763419316323,LEC
24,276.5102165984912,276.6917798652159,BOT
25,286.0,,LEC
