X,Y,Minisector,Fastest
3253.465462920587,1234.2887320179018,0,RIC
3272.145980374741,1155.3784580619574,0,RIC
3310.0,987.0,0,RIC
3325.430166253521,912.6846160828254,0,RIC
3356.0,741.0,0,RIC
3363.5123567560518,691.1860232690539,0,RIC
3388.0,494.0,0,RIC
3388.1725050483574,492.3298620946028,0,RIC
3404.491779462863,292.6218484445227,0,RIC
3407.0,244.0,0,RIC
3410.6597709119055,97.53864912915826,0,RIC
3410.0,4.0,0,RIC
3406.984755381075,-88.55162808426425,0,RIC
3399.0,-224.0,0,RIC
3395.6144103857337,-270.95157958839934,0,RIC
3381.0,-444.0,0,RIC
3380.945165619255,-444.5999649102134,0,RIC
3369.2568372789424,-562.0377926084406,1,RIC
3366.0,-593.0,1,RIC
3353.982818535609,-706.6090796500471,1,RIC
3346.0,-782.0,1,RIC
3340.9987118573154,-829.3133405127143,1,RIC
3329.0,-941.0,1,RIC
3327.8026878208193,-951.7058456533636,1,RIC
3314.921384685703,-1063.1238060057883,1,RIC
3313.0,-1080.0,1,RIC
3303.4662239328445,-1166.783469438073,1,RIC
3299.0,-1209.0,1,RIC
3292.522693489838,-1271.7213225887056,1,RIC
3289.0,-1339.0,1,RIC
3290.3927289582507,-1370.7375613873605,1,RIC
3308.0,-1446.0,1,RIC
3311.3233513375067,-1453.056024290393,1,RIC
3365.226918513501,-1522.1983276180813,1,RIC
3376.0,-1531.0,1,RIC
3441.4094474584913,-1566.8121894766216,1,RIC
3474.0,-1581.0,1,RIC
3519.151565815449,-1600.47059464796,1,RIC
3566.0,-1620.0,1,RIC
3588.6726065897888,-1628.9637788680275,1,RIC
3622.0,-1642.0,1,RIC
3660.3394530253145,-1657.6527038392305,1,RIC
3714.0,-1680.0,1,RIC
3727.273010575416,-1685.4465814674638,1,RIC
3769.0,-1704.0,1,RIC
3778.8557429918883,-1709.1033235812736,1,RIC
3845.128123131554,-1744.2490420112742,1,RIC
3849.0,-1746.0,1,RIC
3875.2057225342146,-1758.1775472157444,1,RIC
3885.0,-1780.0,1,RIC
3914.9435717144556,-1875.2773788291508,1,RIC
3934.0,-1959.0,1,RIC
3935.711645048816,-1996.4076590442685,1,RIC
3919.0,-2037.0,1,RIC
3914.618512785367,-2047.197304910244,1,RIC
3884.688710213009,-2113.4634133442732,1,RIC
3882.0,-2118.0,1,RIC
3843.9431302430867,-2165.4139286823524,2,GAS
3830.0,-2179.0,2,GAS
3801.6330405017475,-2202.800942255106,2,GAS
3774.0,-2221.0,2,GAS
3749.4207516421234,-2234.572291910204,2,GAS
3693.0,-2258.0,2,GAS
3680.222804785369,-2261.5689326021024,2,GAS
3600.339600176612,-2274.3818647679564,2,GAS
3594.0,-2275.0,2,GAS
