Minisector,GAS,RIC,Fastest
0,281.98869622648067,276.6589381608533,GAS
1,297.30986540691174,290.4575120954114,GAS
2,249.41648003642857,228.24690268441404,GAS
3,122.6609797156975,114.86177465198404,GAS
4,145.50565276930905,140.82828379322356,GAS
5,252.03720632381706,248.9738320537093,GAS
6,253.31885958916666,239.65510273886812,GAS
7,130.76306125867595,126.83045379052803,GAS
8,250.28876790886875,245.65826907117426,GAS
9,268.3895833212121,243.85087580918074,GAS
10,217.95730453346258,204.61732242206625,GAS
11,150.32234900155703,141.08946748315137,GAS
12,215.58277890369865,211.86204509513206,GAS
13,261.9882665233622,250.3028259047619,GAS
14,119.27818058130221,113.32892223574336,GAS
15,208.5913760897566,192.9223741401184,GAS
16,262.3443788196795,255.7831323434676,GAS
17,288.2272124114949,284.91618342738826,GAS
18,297.51492411466467,295.0147183126223,GAS
19,299.8421052631579,297.4615959103186,GAS
20,300.52552547472783,296.9110415466667,GAS
21,167.7608966162723,140.16363498751895,GAS
22,155.01114911118316,169.66369526071753,RIC
23,201.06980198529465,190.81617505752249,GAS
24,231.66169091276677,237.09970475676832,RIC
