Minisector,HAM,KUB,Fastest
0,281.21194968426755,278.2223311213078,HAM
1,237.0558426376534,240.1629154578626,KUB
2,264.00688666929295,264.90117955440155,KUB
3,283.1936427216981,280.2075413430293,HAM
4,132.6794031506287,121.42461392463332,HAM
5,206.072412234996,210.60787918006395,KUB
6,265.7150377784461,264.66653620805374,HAM
7,289.15241663813663,287.0203236773808,HAM
8,299.7448007219108,296.5557292,HAM
9,304.6748660182217,299.27407407407406,HAM
10,286.07407455720386,273.8216522803024,HAM
11,101.58043251648996,94.41377546880133,HAM
12,218.77512341542462,215.9095782961636,HAM
13,269.7844590451616,265.68204831023746,HAM
14,274.75712081699885,263.19233535923,HAM
15,136.13089643932256,125.24888148956195,HAM
16,201.33706192590788,201.7980094380676,KUB
17,253.75392588421255,254.55068114466994,KUB
18,258.48633428365355,249.9572155303154,HAM
19,240.16510693929712,248.0291907944224,KUB
20,158.601168165805,148.8091430625152,HAM
21,189.862995828394,186.3332270418846,HAM
22,169.0950639327266,161.9256831923788,HAM
23,186.80947586256363,186.09103548889993,HAM
24,248.71715558384594,247.79337129232172,HAM
25,,267.6187504,KUB
