Minisector,VER,GRO,Fastest
0,277.5088783352092,276.2545339834448,VER
1,241.8477544291957,243.07196735454892,GRO
2,264.80592553823317,266.06566453916844,GRO
3,281.3579649008158,281.0531010521097,VER
4,133.67244795003026,121.12929596963014,VER
5,211.9795670662673,203.85664068649677,VER
6,268.31837621179517,265.04046899870303,VER
7,287.6472222222222,286.6523639996769,VER
8,296.28850768829705,297.37340362420707,GRO
9,298.52369707779656,302.29536304520684,GRO
10,280.05392156862746,287.5798624,GRO
11,106.19464345083912,98.21282839110002,VER
12,223.24342251838561,217.74851192533316,VER
13,268.8189567997484,264.6047882830504,VER
14,268.98267649122806,267.5370378074074,VER
15,135.28784441654886,130.53604761078105,VER
16,209.6988365305663,201.2916700695309,VER
17,257.631071711443,252.5486118342807,VER
18,257.5799420338555,250.65099670204842,VER
19,246.08893182288588,242.12559505703297,VER
20,154.59263135537128,146.81491653624158,VER
21,198.47707131271633,189.92182583299726,VER
22,178.82554877583055,167.09317027980208,VER
23,195.7765801953674,190.25975559038355,VER
24,251.12575314666137,247.25236123523078,VER
25,268.46024980907094,,VER
