Minisector,VER,LEC,Fastest
0,271.3595171947154,276.26880063635303,LEC
1,288.7688042920571,295.21686850030454,LEC
2,294.8965029142857,299.4149382595351,LEC
3,137.5968116052385,123.18275452164656,VER
4,204.4242961284519,200.40714648398918,VER
5,262.1665701475403,259.87790198986494,VER
6,155.01867401097937,139.59285662814682,VER
7,210.93043494034654,211.0415725922029,LEC
8,261.3986938370147,261.9954518207464,LEC
9,281.5236915123444,284.09958335636543,LEC
10,253.4649005338,241.07137060474219,VER
11,192.83267625417267,178.92758966075857,VER
12,203.99548427885412,194.99676032845923,VER
13,158.446187450512,144.95372577100875,VER
14,187.42516231931444,178.99208923368377,VER
15,174.62497690701642,162.77295746370794,VER
16,225.78565856482183,222.3758875489847,VER
17,248.11210172207973,235.93268702058282,VER
18,248.32725466441647,244.8335460808123,VER
19,257.72105788055404,239.51776410598228,VER
20,152.05361952305444,148.0842272870666,VER
21,145.35857673350145,130.8828516822826,VER
22,176.5276033955563,174.8747618673501,VER
23,158.6585832885654,149.41179676380338,VER
24,235.90464406469158,234.26003353532292,VER
