Minisector,BOT,LEC,Fastest
0,264.855633362963,267.2907635039946,LEC
1,297.4876740279838,297.8022353274556,LEC
2,313.2023365737878,313.01047671873016,BOT
3,323.15154784507934,322.3552618096929,BOT
4,329.60119055238096,327.9624390116233,BOT
5,332.35714285714283,330.8773384272109,BOT
6,282.6164409904762,278.45514290196076,BOT
7,114.83643071405977,117.66721433355701,LEC
8,151.7015284977778,155.0392174691827,LEC
9,251.40739412153607,255.1919002666667,LEC
10,289.92000035555554,292.1062506,LEC
11,243.81270672,252.17453684996033,LEC
12,94.23296588199207,94.58725835779089,LEC
13,110.47669409160144,111.46541662857143,LEC
14,212.00229974718613,214.9614963452956,LEC
15,194.80231427626376,190.3916656888889,BOT
16,224.27460317460316,218.95750567682313,BOT
17,193.21483206984126,195.37088217777776,LEC
18,225.41048500809393,223.332768816809,BOT
19,276.0509525938254,272.24088613333333,BOT
20,295.14166666666665,290.03259695686273,BOT
21,157.85605415303777,160.48548277652213,LEC
22,101.41019003177736,103.37656601387098,LEC
23,119.84669487059865,121.11349999712941,LEC
24,206.1003070108609,202.49465423796494,BOT
25,,246.6625024,LEC
