Minisector,BOT,RIC,Fastest
0,264.855633362963,272.5669043279438,RIC
1,297.4876740279838,296.98194474666667,BOT
2,313.2023365737878,310.6088891022222,BOT
3,323.15154784507934,319.9089286857143,BOT
4,329.60119055238096,325.8061111466667,BOT
5,332.35714285714283,329.6167411047619,BOT
6,282.6164409904762,212.99166978235587,BOT
7,114.83643071405977,108.5104027603513,BOT
8,151.7015284977778,188.23162218435323,RIC
9,251.40739412153607,262.5397062901961,RIC
10,289.92000035555554,293.38586373614015,RIC
11,243.81270672,183.25507297330395,BOT
12,94.23296588199207,98.892387226279,RIC
13,110.47669409160144,115.14981074686717,RIC
14,212.00229974718613,226.31837913365013,RIC
15,194.80231427626376,187.24733239466667,BOT
16,224.27460317460316,223.3197418031746,BOT
17,193.21483206984126,181.0129795692308,BOT
18,225.41048500809393,237.99517411929824,RIC
19,276.0509525938254,278.4956957266014,RIC
20,295.14166666666665,265.40774086772484,BOT
21,157.85605415303777,150.87348094844006,BOT
22,101.41019003177736,99.39850628058899,BOT
23,119.84669487059865,126.07194103997433,RIC
24,206.1003070108609,219.32395260368617,RIC
25,,255.74444373333336,RIC
