Minisector,VET,RIC,Fastest
0,268.2828426666667,272.5669043279438,RIC
1,300.60975389306446,296.98194474666667,VET
2,316.2333688373484,310.6088891022222,VET
3,325.4307935593651,319.9089286857143,VET
4,330.69006005905055,325.8061111466667,VET
5,332.8705356952381,329.6167411047619,VET
6,287.81960784313725,212.99166978235587,VET
7,114.35888239901217,108.5104027603513,VET
8,150.72452366730158,188.23162218435323,RIC
9,255.1195272871463,263.5902782222222,RIC
10,292.6343748666667,294.8178080916957,RIC
11,247.76506889624062,171.70877741450164,VET
12,92.96323903895318,99.12288223189138,RIC
13,110.1733418112866,117.33314876874236,RIC
14,217.07024707720524,224.65460727649216,RIC
15,193.63249975466667,188.84616571733332,VET
16,227.19856372975832,223.95322905333333,VET
17,191.57023110699512,179.413498752,VET
18,226.15134814409512,237.99517411929824,RIC
19,277.0169118745098,279.23124303680135,RIC
20,293.4182637091262,263.90231385994394,VET
21,155.55032927947457,151.23567557112136,VET
22,104.075073738717,98.00326183549512,VET
23,120.5268991692916,126.90527437330768,RIC
24,206.88623188405796,223.12395260368618,RIC
25,,256.61666560000003,RIC
