X,Y,Minisector,Fastest
-7617.464208949448,-7100.0321044476095,0,RIC
-7635.0,-6945.0,0,RIC
-7639.847614875585,-6895.069207868089,0,RIC
-7658.975506866312,-6637.800922568756,0,RIC
-7660.0,-6621.0,0,RIC
-7668.663580150463,-6446.1374499577105,0,RIC
-7671.0,-6391.0,0,RIC
-7675.485473177456,-6283.968823558333,0,RIC
-7677.0,-6180.0,0,RIC
-7675.679292253476,-6088.899708333148,0,RIC
-7673.0,-6000.0,0,RIC
-7669.544595820841,-5925.720712567184,0,RIC
-7659.0,-5801.0,0,RIC
-7652.3923133469225,-5744.433420017289,0,RIC
-7628.0,-5583.0,1,RIC
-7625.207798522426,-5568.307065773355,1,RIC
-7587.9167188954925,-5411.936788122947,1,RIC
-7581.0,-5388.0,1,RIC
-7542.272785302837,-5270.291449855026,1,RIC
-7525.0,-5217.0,1,RIC
-7505.316904038522,-5147.797193613082,1,RIC
-7488.0,-5072.0,1,RIC
-7483.981514647983,-5051.289808704341,1,RIC
-7465.16909191275,-4932.254525944183,1,RIC
-7464.0,-4924.0,1,RIC
-7452.146230900751,-4832.662463152146,1,RIC
-7449.0,-4805.0,1,RIC
-7443.996259297329,-4754.716627535378,1,RIC
-7433.0,-4716.0,1,RIC
-7416.597659022665,-4688.013085317117,1,RIC
-7369.0,-4644.0,1,RIC
-7357.338108158843,-4638.668774944258,1,RIC
-7285.442103772932,-4628.554380799255,1,RIC
-7280.0,-4628.0,1,RIC
-7231.500919783869,-4621.4825162633315,1,RIC
-7201.0,-4617.0,1,RIC
-7168.681555861876,-4612.707772189788,1,RIC
-7121.0,-4607.0,1,RIC
-7094.038061565076,-4603.976271009147,1,RIC
-7042.0,-4598.0,1,RIC
-7030.887188489283,-4596.555764247349,1,RIC
-6967.612175870262,-4587.627384952786,2,RIC
-6963.0,-4587.0,2,RIC
-6917.1604619933905,-4581.144940260272,2,RIC
-6883.0,-4577.0,2,RIC
-6839.791548652278,-4571.797189836626,2,RIC
-6774.0,-4564.0,2,RIC
-6754.448321411148,-4561.7479563227425,2,RIC
-6685.0,-4553.0,2,RIC
-6684.323021034733,-4552.8975543636625,2,RIC
-6590.486556847014,-4537.031532696873,2,RIC
-6567.0,-4533.0,2,RIC
-6495.328695612696,-4521.031346489636,2,RIC
-6449.0,-4513.0,2,RIC
-6415.96130948405,-4506.939367393015,2,RIC
-6322.0,-4488.0,2,RIC
-6310.5865186770325,-4485.522747362768,2,RIC
-6188.931598793083,-4457.917985175652,2,RIC
-6176.0,-4455.0,2,RIC
-6127.0,-4444.0,3,RIC
-5962.315953712676,-4404.100387232067,3,RIC
-5924.0,-4395.0,3,RIC
-5859.170590150956,-4380.317263465086,3,RIC
-5769.0,-4358.0,3,RIC
-5689.059185666359,-4336.535663417964,3,RIC
-5412.0,-4263.0,3,RIC
-5387.664101313947,-4257.136971339759,3,RIC
-5139.63572616581,-4207.821980587167,3,RIC
-5099.0,-4202.0,3,RIC
-4880.657070077351,-4179.3696167175785,3,RIC
-4782.0,-4168.0,3,RIC
-4667.949130366345,-4148.65579193509,3,RIC
-4559.0,-4119.0,3,RIC
-4532.242312187429,-4109.591644456404,3,RIC
-4379.637893737971,-4041.921496624498,4,RIC
-4367.0,-4036.0,4,RIC
-4212.5116704946895,-3963.212702044081,4,RIC
-4159.0,-3938.0,4,RIC
-4053.829403954508,-3888.629423491245,4,RIC
-3968.0,-3851.0,4,RIC
-3905.452590482617,-3826.440630275346,4,RIC
-3780.0,-3786.0,4,RIC
-3751.1130578686484,-3778.4795421240365,4,RIC
-3569.7395557304094,-3741.508944862102,4,RIC
-3555.0,-3739.0,4,RIC
-3362.9003732258875,-3710.374846649242,4,RIC
-3298.0,-3701.0,4,RIC
-3174.5865153241166,-3682.3346970379603,5,GRO
-3080.0,-3668.0,5,GRO
-3015.5154057672025,-3658.6936951092316,5,GRO
-2902.0,-3640.0,5,GRO
