X,Y,Minisector,Fastest
-7611.835083741968,-7144.334603537745,0,SAI
-7619.720073246786,-7081.25234903175,0,SAI
-7639.0,-6895.0,0,SAI
-7647.261244658135,-6792.868706598786,0,SAI
-7663.0,-6541.0,0,SAI
-7664.30847634816,-6518.037685351529,0,SAI
-7672.10030010457,-6363.788621539352,0,SAI
-7674.0,-6311.0,0,SAI
-7676.258842870964,-6102.440388362767,0,SAI
-7676.0,-6090.0,0,SAI
-7669.503679257173,-5940.3491360873,0,SAI
-7663.0,-5851.0,0,SAI
-7654.2715576797145,-5762.612204995151,0,SAI
-7648.0,-5711.0,0,SAI
-7627.181734711967,-5574.768298223037,1,RIC
-7615.0,-5514.0,1,RIC
-7593.58005797288,-5428.509329589196,1,RIC
-7567.0,-5341.0,1,RIC
-7551.8326796354,-5295.4342115372065,1,RIC
-7513.0,-5179.0,1,RIC
-7509.536983291287,-5166.809727947874,1,RIC
-7485.079123286972,-5061.632642780836,1,RIC
-7478.0,-5023.0,1,RIC
-7466.265464578813,-4942.27355969561,1,RIC
-7459.0,-4884.0,1,RIC
-7452.7306152988185,-4835.855255945776,1,RIC
-7446.0,-4785.0,1,RIC
-7441.663373840506,-4751.474400431498,1,RIC
-7420.0,-4668.0,1,RIC
-7415.462069786289,-4662.24649483968,1,RIC
-7339.0,-4638.0,1,RIC
-7337.795023191243,-4637.807954611414,1,RIC
-7265.911944640841,-4626.426067531672,1,RIC
-7250.0,-4624.0,1,RIC
-7201.2519031429465,-4616.944455751439,1,RIC
-7171.0,-4613.0,1,RIC
-7149.13022737681,-4610.393921017694,1,RIC
-7092.0,-4604.0,1,RIC
-7074.951170969819,-4601.9648439185175,1,RIC
-7012.0,-4594.0,1,RIC
-7011.264767384149,-4593.904993050505,1,RIC
-6956.647112145563,-4586.763688096736,2,RIC
-6943.0,-4585.0,2,RIC
-6894.897088157285,-4578.894107599323,2,RIC
-6864.0,-4575.0,2,RIC
-6833.400710685526,-4571.1362927518285,2,RIC
-6784.0,-4565.0,2,RIC
-6775.770907031884,-4563.997606962966,2,RIC
-6679.504051637754,-4552.039004001113,2,RIC
-6665.0,-4550.0,2,RIC
-6592.202107451125,-4538.170477916217,2,RIC
-6557.0,-4532.0,2,RIC
-6501.215747710621,-4522.190388297727,2,RIC
-6439.0,-4511.0,2,RIC
-6407.712390341687,-4505.163627212823,2,RIC
-6329.235823103847,-4489.530408864282,2,RIC
-6322.0,-4488.0,2,RIC
-6205.723108820045,-4462.208042446139,2,RIC
-6166.0,-4453.0,2,RIC
-6086.001322603392,-4433.766002914565,3,RIC
-6021.0,-4418.0,3,RIC
-5968.837382435637,-4405.590633942593,3,RIC
-5865.0,-4381.0,3,RIC
-5841.446785117002,-4375.325031018584,3,RIC
-5686.813651329831,-4336.030680417735,3,RIC
-5672.0,-4332.0,3,RIC
-5473.583676375689,-4276.427561633023,3,RIC
-5335.0,-4243.0,3,RIC
-5189.1932308690875,-4216.622651966583,3,RIC
-5000.0,-4192.0,3,RIC
-4941.554155151678,-4185.334185453704,3,RIC
-4762.0,-4165.0,3,RIC
-4759.151683281216,-4164.569139446944,3,RIC
-4596.183182618171,-4130.56549403964,4,RIC
-4559.0,-4119.0,4,RIC
-4467.563274001035,-4082.860175705307,4,RIC
-4367.0,-4036.0,4,RIC
-4196.94754190143,-3955.904704727596,4,RIC
-4159.0,-3938.0,4,RIC
-4041.289299034502,-3882.6639174264938,4,RIC
-3968.0,-3851.0,4,RIC
-3888.2819664334415,-3820.4319989390538,4,RIC
-3770.0,-3783.0,4,RIC
-3753.6446852162844,-3778.6541363020447,4,RIC
