Minisector,VET,SAI,Fastest
0,267.5128134790148,268.20942706484635,SAI
1,129.48903428993637,133.71672328771143,SAI
2,200.656002362292,196.97786986625394,VET
3,250.49417123220232,250.55561194794805,SAI
4,264.2025578072658,262.4729046692142,VET
5,173.07805855700605,170.19850170181974,VET
6,142.35569847796899,140.10953328256824,VET
7,183.39871334419834,179.80889178521505,VET
8,100.06488931323997,102.83378545730119,SAI
9,72.93139594008987,70.45203985381032,VET
10,93.73847195072713,96.85743321726099,SAI
11,182.8733216605777,187.24250225724225,SAI
12,248.06122401088436,250.3649190938738,SAI
13,271.26603503569635,274.35495854731414,SAI
14,282.6308991748247,280.4912751035363,VET
15,117.21595383131825,102.1353435820305,VET
16,142.61169641085024,160.4570738373825,SAI
17,181.31651829333333,182.89534401492622,SAI
18,197.69217585202875,196.23969943700902,VET
19,200.03645363641857,199.58429623767594,VET
20,129.64794721492981,135.12751043800188,SAI
21,109.5005810486907,101.9325688335229,VET
22,94.82238950525048,101.69755655985307,SAI
23,197.07777860045877,207.24382458463572,SAI
24,253.20322454941004,256.5085583974248,SAI
25,268.1666666666667,,VET
