Minisector,LEC,PER,Fastest
0,237.54768283061009,230.62046782495003,LEC
1,287.59235618622307,283.50823155697543,LEC
2,303.1949699899354,299.5566928646714,LEC
3,309.9636157013151,306.679093169554,LEC
4,268.6471653681669,268.614792168998,LEC
5,171.31254093332274,165.11952999655287,LEC
6,267.0585447383432,260.188109765146,LEC
7,285.77874890927865,279.65630641575666,LEC
8,220.44815776688225,210.99143421959963,LEC
9,226.05128339924903,218.21656009755253,LEC
10,184.44266421203673,181.04619087857057,LEC
11,227.36564670164577,227.54967095707107,PER
12,210.32387910747016,200.48449966827894,LEC
13,216.45474494754157,209.17013135913385,LEC
14,227.37618839961502,223.56354176333127,LEC
15,184.81074349788852,178.30911798357312,LEC
16,252.7855169402003,247.90411589831618,LEC
17,292.13089893356874,288.14648907464533,LEC
18,305.89702389841267,300.44387184649963,LEC
19,301.6601901286389,279.13498546737117,LEC
20,133.94418149284485,129.6906898207613,LEC
21,165.7557472485355,163.00031966432252,LEC
22,149.2613210154159,154.90185782124576,PER
23,208.71683581282332,198.49266019872962,LEC
24,149.61363455311027,148.19059390516787,LEC
25,191.31799690229371,,LEC
