Minisector,SAI,NOR,Fastest
0,232.34062553319205,234.27757920743232,NOR
1,281.3192551619048,282.43170137777776,NOR
2,293.8250407772107,295.9643153160009,NOR
3,298.65615485231405,302.16421167424005,NOR
4,265.86201694677794,264.57741205770617,SAI
5,166.68272311122382,168.13621551161614,NOR
6,262.1277989870886,262.6975638783837,NOR
7,280.0480587878788,279.7714968097088,SAI
8,217.30849273163383,210.53348744298646,SAI
9,221.11644993613442,222.99525332573145,NOR
10,181.45964228192645,177.36243061762573,SAI
11,221.48635246369514,224.7033822337286,NOR
12,209.76615636037354,200.25533708944985,SAI
13,214.1813779427515,209.44535366784714,SAI
14,220.65828338546893,222.8891716482421,NOR
15,178.74581897905753,177.36475643341217,SAI
16,245.9463944307055,248.7775786102393,NOR
17,283.5347486146707,284.06475999751603,NOR
18,295.7530918005056,296.454921095857,NOR
19,287.818425565368,287.9267818038033,NOR
20,131.264281050797,128.17008721521333,SAI
21,161.3581254926863,155.8339293088127,SAI
22,151.93327365506147,150.73316056741209,SAI
23,203.28043378259557,203.9718355702831,NOR
24,144.47885647347167,144.45291406676813,SAI
25,180.76666666666668,,SAI
