Minisector,VER,HAM,Fastest
0,278.2790423660664,277.84665877413977,VER
1,221.91778517333333,229.04062807619047,HAM
2,113.44694477915814,115.6867674587822,HAM
3,194.35726416727272,192.59304198911934,VER
4,172.38755658149762,174.94752593333334,HAM
5,219.01546994917646,222.32669094262585,HAM
6,279.78906382714246,286.433340956391,HAM
7,293.38875008,308.2114494028011,HAM
8,169.42450914883713,187.01123099936507,HAM
9,128.42619627805584,126.97614803273865,VER
10,138.669018666605,135.54646196919325,VER
11,197.611858556346,194.90097737142858,VER
12,206.07679225171108,215.96230352918445,HAM
13,134.05635450666665,130.84593244444446,VER
14,142.03487262341068,144.44746440846006,HAM
15,134.58306848276726,127.89366733339418,VER
16,251.705159415873,262.90327582985367,HAM
17,139.20710101961117,135.18161008288828,VER
18,204.09246821458828,199.3165349485074,VER
19,133.5251295888416,134.26226566064247,HAM
20,145.56576677690904,148.11235973691362,HAM
21,127.92194075493028,127.73746903064188,VER
22,154.26949240133226,150.417685583337,VER
23,220.23085322539683,223.26149654576176,HAM
24,238.8367801269841,238.3287884121212,VER
25,,270.8499989333333,HAM
