Minisector,VET,HUL,Fastest
0,281.1301180717354,287.39059572571426,HUL
1,219.3243685302471,214.82440616384437,VET
2,113.96207422974771,113.90537903920163,VET
3,202.1458932760172,204.06506486153847,HUL
4,175.70228161681413,166.62248038433864,VET
5,225.21148193179772,229.97648858412697,HUL
6,278.3191820399568,293.3752631456996,HUL
7,295.04495607017543,316.15528721568626,HUL
8,175.75757292429935,164.45285404981934,VET
9,126.83370734119481,120.90579344447401,VET
10,137.05130322517732,137.47596930551197,HUL
11,199.25806610415165,203.42888363228687,HUL
12,212.37596344615383,203.1928723411235,VET
13,131.8857957733333,131.62872138927847,VET
14,147.38985220586844,138.5657258600481,VET
15,128.80701794160026,139.1169393813556,HUL
16,258.01145141399934,270.3962497066667,HUL
17,138.51295468279162,128.6601906583043,VET
18,206.99049785904762,211.6745107437782,HUL
19,137.2506381641237,124.9572248868496,VET
20,145.01581319607135,143.35656725479188,VET
21,128.22341203004257,125.11708502859658,VET
22,151.0146057211519,160.5634717310505,HUL
23,220.2628411270073,217.49377272185254,VET
24,238.18042514608197,241.37428589714287,HUL
25,267.27499946666666,,VET
