Minisector,VER,MAG,Fastest
0,290.80994876224645,281.9173811657143,VER
1,301.5407738571429,290.57382574298776,VER
2,305.75495688964793,293.38445382633057,VER
3,306.51071472380954,292.2379902117647,VER
4,180.1396782005586,179.5689500743776,VER
5,215.3008789863354,214.89254669648034,VER
6,242.77312501333336,246.183875168,MAG
7,268.55138891048387,265.7535715689223,VER
8,263.90291732586434,261.7646382693881,VER
9,170.8859888184332,168.27571834745484,VER
10,234.9235644910645,230.5231417589773,VER
11,139.92556917767274,138.5810711466667,VER
12,227.42102094545453,225.41935595304304,VER
13,200.37723528047718,198.31570465641028,VER
14,215.1577723224904,218.26936428148238,MAG
15,248.87231051175536,252.58806540190477,MAG
16,262.1138151859649,262.76568235216814,MAG
17,284.62256177271206,279.97661997037034,VER
18,135.48916394954955,132.65208049533518,VER
19,163.8303596785409,167.09827477963876,MAG
20,151.95570920476192,147.28326776708334,VER
21,174.12095341714286,172.8064526934563,VER
22,119.97169281593287,116.49979787967479,VER
23,226.3874714805195,218.90687417850668,VER
24,270.72479088,264.49386392254655,VER
